accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,routing,case,arm,start_year,initial_cash_usd,monthly_contribution_usd,retained_balance_usd,initial_accounts,acquisition,max_live_accounts,capacity_R_at_horizon,signals_loaded,signals_executed,signal_participation,signals_without_target,requested_copies,missed_requested_copies,requested_copy_coverage,mean_copies_per_exported_signal,planned_contract_hours,owner_contributions_usd,ending_owner_cash_usd,cash_limited_decisions,capacity_limited_decisions,pending_replacements,growth_purchases,replacement_purchases,delta_total_vs_unlimited_usd,delta_total_vs_blocked_usd,copies_vs_unlimited_ratio
49,20,29,20,False,86927,9800.0,336700.0,0.0,336700.0,,2023_5000_0_retain_30000,blocked_copy,2023,5000,0,30000,5,monthly_plus_replacements,20,4,6932,5075,0.7321119446047317,2,119393,32466,0.7280745102309181,12.539959607616849,146767.2056,5000.0,341700.0,0,27,0,15,29,-69000.0,0.0,0.7286115418465278
31,20,11,20,False,22902,6200.0,68300.0,0.0,68300.0,,2023_5000_0_retain_30000,adaptive_max_headroom,2023,5000,0,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22902,0,1.0,3.303808424697057,36158.4431,5000.0,73300.0,0,27,0,15,11,-337400.0,-268400.0,0.19196177863459202
46,20,26,20,False,22805,9200.0,24800.0,36841.58,61641.58,,2023_5000_0_retain_30000,adaptive_round_robin,2023,5000,0,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22805,0,1.0,3.2898153491055973,35992.0986,5000.0,66641.58,15,27,0,15,26,-344058.42,-275058.42,0.1911487364318344
40,20,20,20,False,113805,8000.0,313500.0,92419.77,405919.77,,2023_5000_0_retain_31900,unlimited_reference,2023,5000,0,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,113805,0,1.0,16.41733987305251,179316.7978,5000.0,410919.77,146,22,0,15,20,0.0,102519.77,1.0
28,20,8,20,False,86006,5600.0,303400.0,0.0,303400.0,,2023_5000_0_retain_31900,blocked_copy,2023,5000,0,31900,5,monthly_plus_replacements,20,4,6932,5076,0.7322562031159838,0,118133,32127,0.7280438150220514,12.407097518753606,145212.6222,5000.0,308400.0,4,23,0,15,8,-102519.77,0.0,0.7557312947585783
24,20,4,20,False,22909,4800.0,57700.0,6889.94,64589.94,,2023_5000_0_retain_31900,adaptive_max_headroom,2023,5000,0,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22909,0,1.0,3.3048182342758223,36166.4819,5000.0,69589.94,0,27,0,15,4,-341329.83,-238810.06,0.2013004701023681
39,20,19,20,False,22014,7800.0,8700.0,19294.17,27994.17,,2023_5000_0_retain_31900,adaptive_round_robin,2023,5000,0,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22014,0,1.0,3.1757068667051356,34564.3153,5000.0,32994.17,169,27,0,15,19,-377925.6,-275405.83,0.1934361407671016
74,20,54,20,False,119305,14800.0,375700.0,30000.0,405700.0,,2023_5000_200_retain_30000,unlimited_reference,2023,5000,200,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,119305,0,1.0,17.21076168493941,188624.1311,13400.0,419100.0,0,27,0,15,54,0.0,69000.0,1.0
49,20,29,20,False,86927,9800.0,336700.0,0.0,336700.0,,2023_5000_200_retain_30000,blocked_copy,2023,5000,200,30000,5,monthly_plus_replacements,20,4,6932,5075,0.7321119446047317,2,119393,32466,0.7280745102309181,12.539959607616849,146767.2056,13400.0,350100.0,0,27,0,15,29,-69000.0,0.0,0.7286115418465278
31,20,11,20,False,22902,6200.0,68300.0,0.0,68300.0,,2023_5000_200_retain_30000,adaptive_max_headroom,2023,5000,200,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22902,0,1.0,3.303808424697057,36158.4431,13400.0,81700.0,0,27,0,15,11,-337400.0,-268400.0,0.19196177863459202
35,20,15,20,False,22886,7000.0,24000.0,14069.87,38069.87,,2023_5000_200_retain_30000,adaptive_round_robin,2023,5000,200,30000,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22886,0,1.0,3.3015002885170226,36139.2819,13400.0,51469.87,0,27,0,15,15,-367630.13,-298630.13,0.1918276685805289
35,20,15,20,False,119409,7000.0,349000.0,97910.76,446910.76,,2023_5000_200_retain_31900,unlimited_reference,2023,5000,200,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,119409,0,1.0,17.225764570109636,188761.3589,13400.0,460310.76,0,27,0,15,15,0.0,138210.76,1.0
29,20,9,20,False,86953,5800.0,308700.0,0.0,308700.0,,2023_5000_200_retain_31900,blocked_copy,2023,5000,200,31900,5,monthly_plus_replacements,20,4,6932,5076,0.7322562031159838,0,119441,32488,0.727999598127946,12.543710328909405,146806.1167,13400.0,322100.0,0,27,0,15,9,-138210.76,0.0,0.7281946921923808
24,20,4,20,False,22909,4800.0,57700.0,6889.94,64589.94,,2023_5000_200_retain_31900,adaptive_max_headroom,2023,5000,200,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22909,0,1.0,3.3048182342758223,36166.4819,13400.0,77989.94,0,27,0,15,4,-382320.82,-244110.06,0.19185321039452638
35,20,15,20,False,22886,7000.0,5000.0,18031.14,23031.14,,2023_5000_200_retain_31900,adaptive_round_robin,2023,5000,200,31900,5,monthly_plus_replacements,20,4,6932,6932,1.0,0,22886,0,1.0,3.3015002885170226,36139.2819,13400.0,36431.14,0,27,0,15,15,-423879.62,-285668.86,0.19166059509752195
