case,phase,start_year,withdrawal,path_order,portfolio,net_operating_cash_delta_vs_rr1,deaths_delta_vs_rr1,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,half_loss_20d_episodes_min5_delta_vs_rr1
isolation__2024__minimum__mae_first__rr_1.00,isolation,2024,minimum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__rr_1.25,isolation,2024,minimum,mae_first,rr_1.25,30000.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__rr_1.50,isolation,2024,minimum,mae_first,rr_1.50,60000.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__rr_2.00,isolation,2024,minimum,mae_first,rr_2.00,20000.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__rr_2.50,isolation,2024,minimum,mae_first,rr_2.50,70000.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__rr_3.00,isolation,2024,minimum,mae_first,rr_3.00,20000.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__rr_3.50,isolation,2024,minimum,mae_first,rr_3.50,20000.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__near,isolation,2024,minimum,mae_first,near,-5000.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__modest,isolation,2024,minimum,mae_first,modest,15000.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__four,isolation,2024,minimum,mae_first,four,12500.0,0,0,0.0,0,0,0
isolation__2024__minimum__mae_first__wide,isolation,2024,minimum,mae_first,wide,30000.0,0,0,0.0,0,0,0
operating__2024__minimum__mae_first__rr_0.50,operating,2024,minimum,mae_first,rr_0.50,-4651.0,-6,0,0.0,1,-2,0
operating__2024__minimum__mae_first__rr_0.75,operating,2024,minimum,mae_first,rr_0.75,-11889.0,5,0,0.0,1,0,0
operating__2024__minimum__mae_first__rr_1.00,operating,2024,minimum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
operating__2024__minimum__mae_first__rr_1.25,operating,2024,minimum,mae_first,rr_1.25,-5158.0,-2,0,0.0,0,-1,0
operating__2024__minimum__mae_first__rr_1.50,operating,2024,minimum,mae_first,rr_1.50,14349.0,-3,0,0.0,0,-2,0
operating__2024__minimum__mae_first__rr_2.00,operating,2024,minimum,mae_first,rr_2.00,11828.0,4,0,0.0,0,-1,1
operating__2024__minimum__mae_first__rr_2.50,operating,2024,minimum,mae_first,rr_2.50,42533.0,-3,0,0.0,0,-3,0
operating__2024__minimum__mae_first__rr_3.00,operating,2024,minimum,mae_first,rr_3.00,38677.0,4,0,0.0,1,-1,0
operating__2024__minimum__mae_first__rr_3.50,operating,2024,minimum,mae_first,rr_3.50,1354.0,9,0,0.0,1,-1,1
operating__2024__minimum__mae_first__near,operating,2024,minimum,mae_first,near,-20816.0,0,0,0.0,1,-1,0
operating__2024__minimum__mae_first__modest,operating,2024,minimum,mae_first,modest,599.0,-5,0,0.0,1,-3,0
