product,window,headroom,minimum_ongoing,maximum_ongoing,minimum_minus_maximum_ongoing,minimum_total,maximum_total,minimum_minus_maximum_total,minimum_terminal,maximum_terminal,minimum_minus_maximum_terminal,minimum_deaths,maximum_deaths,minimum_minus_maximum_deaths,minimum_alive,maximum_alive,minimum_minus_maximum_alive,minimum_unfilled_account_days,maximum_unfilled_account_days,minimum_minus_maximum_unfilled_account_days,minimum_average_retained_profit_per_live_pa,maximum_average_retained_profit_per_live_pa,minimum_minus_maximum_average_retained_profit_per_live_pa,minimum_average_retained_profit_book,maximum_average_retained_profit_book,minimum_minus_maximum_average_retained_profit_book,minimum_frozen_mean_balance_std_usd,maximum_frozen_mean_balance_std_usd,minimum_minus_maximum_frozen_mean_balance_std_usd,minimum_largest_simultaneous_deaths,maximum_largest_simultaneous_deaths,minimum_minus_maximum_largest_simultaneous_deaths
legacy_50k,full,6200,535335.0,539671.4,-4336.4,535335.0,539671.4,-4336.4,0,0,0,48,48,0,13,13,0,1725.22,1736.15,-10.93,5365.45,4526.79,838.66,88226.79,74415.59,13811.2,192.32,151.4269,40.8931,16,20,-4
legacy_50k,full,6300,535950.0,537871.4,-1921.4,540476.95,537871.4,2605.55,4526.95,0,4526.95,47,48,-1,13,13,0,1704.06,1733.22,-29.16,5475.86,4595.05,880.81,90090.9,75543.31,14547.59,206.5749,145.702,60.8729,15,20,-5
legacy_50k,full,6400,545355.0,536071.4,9283.6,614802.23,536071.4,78730.83,69447.23,0,69447.23,27,48,-21,20,13,7,887.97,1733.22,-845.25,5559.49,4666.22,893.27,93369.59,76713.35,16656.24,203.3449,140.787,62.5579,9,20,-11
legacy_50k,full,6500,546625.0,534441.4,12183.6,625461.2,534441.4,91019.8,78836.2,0,78836.2,25,48,-23,20,11,9,845.5,1843.94,-998.44,5640.2,4744.18,896.02,94825.5,77774.85,17050.65,189.779,131.1595,58.6195,9,20,-11
legacy_50k,full,6600,547855.0,532641.4,15213.6,636292.29,532641.4,103650.89,88437.29,0,88437.29,23,48,-25,20,11,9,835.19,1840.96,-1005.77,5693.97,4817.74,876.23,95754.09,78986.81,16767.28,177.8902,131.3162,46.574,9,20,-11
legacy_50k,full,6700,548470.0,529946.4,18523.6,641764.81,529946.4,111818.41,93294.81,0,93294.81,22,55,-33,20,7,13,830.17,2103.25,-1273.08,5736.98,4956.38,780.6,96489.45,80714.6,15774.85,168.7994,165.6635,3.1359,9,20,-11
legacy_50k,full,6800,548020.0,542879.4,5140.6,641764.81,641765.0,-0.19,93744.81,98885.6,-5140.79,22,22,0,20,20,0,830.17,830.17,0.0,5845.11,5055.4,789.71,98308.21,85026.12,13282.09,177.1097,137.2057,39.904,9,9,0
legacy_50k,full,6900,541720.0,541079.4,640.6,641764.81,641765.0,-0.19,100044.81,100685.6,-640.79,22,22,0,20,20,0,830.17,830.17,0.0,5950.26,5116.02,834.24,100076.57,86045.68,14030.89,182.1485,124.486,57.6625,9,9,0
legacy_50k,full,7000,540820.0,539279.39,1540.61,641764.81,641764.99,-0.18,100944.81,102485.6,-1540.79,22,22,0,20,20,0,830.17,830.17,0.0,6031.76,5198.16,833.6,101447.42,87427.16,14020.26,179.8299,125.6258,54.2041,9,9,0
legacy_50k,full,7100,539920.0,537479.39,2440.61,641764.81,641764.99,-0.18,101844.81,104285.6,-2440.79,22,22,0,20,20,0,830.17,830.17,0.0,6081.2,5270.35,810.85,102278.97,88641.34,13637.63,170.9705,110.4737,60.4968,9,9,0
legacy_50k,full,7200,539470.0,535679.4,3790.6,641764.81,641765.0,-0.19,102294.81,106085.6,-3790.79,22,22,0,20,20,0,830.17,830.17,0.0,6101.3,5339.8,761.5,102616.96,89809.43,12807.53,170.3488,109.0202,61.3286,9,9,0
legacy_50k,full,7300,539020.0,533879.4,5140.6,641764.81,641765.0,-0.19,102744.81,107885.6,-5140.79,22,22,0,20,20,0,830.17,830.17,0.0,6205.95,5381.19,824.76,104377.0,90505.47,13871.53,186.025,127.8445,58.1805,9,9,0
legacy_50k,full,7400,532720.0,532079.4,640.6,641764.81,641765.0,-0.19,109044.81,109685.6,-640.79,22,22,0,20,20,0,830.17,830.17,0.0,6306.65,5457.33,849.32,106070.71,91786.19,14284.52,193.2634,126.5221,66.7413,9,9,0
legacy_50k,full,7500,531820.0,530279.4,1540.6,641764.81,641765.0,-0.19,109944.81,111485.6,-1540.79,22,22,0,20,20,0,830.17,830.17,0.0,6383.51,5529.87,853.64,107363.36,93006.13,14357.23,185.4362,126.2206,59.2156,9,9,0
legacy_50k,full,8000,522820.0,521279.4,1540.6,641764.81,641765.0,-0.19,118944.81,120485.6,-1540.79,22,22,0,20,20,0,830.17,830.17,0.0,6762.45,5948.48,813.97,113736.82,100046.74,13690.08,189.5073,130.8376,58.6697,9,9,0
legacy_50k,full,9000,504820.0,503279.22,1540.78,641764.81,641764.82,-0.01,136944.81,138485.6,-1540.79,22,22,0,20,20,0,830.17,830.17,0.0,7432.21,6631.0,801.21,125001.3,111525.89,13475.41,201.4679,145.1999,56.268,9,9,0
legacy_50k,full,10000,486070.0,484370.58,1699.42,641764.81,641764.81,0.0,155694.81,157394.23,-1699.42,22,22,0,20,20,0,830.17,830.17,0.0,8012.53,7305.68,706.85,134761.73,122873.28,11888.45,233.804,205.6368,28.1672,9,9,0
legacy_50k,start_2021,0,467360.0,347456.49,119903.51,467360.0,347456.49,119903.51,0,0,0,94,165,-71,10,8,2,4780.8,9380.88,-4600.08,2498.31,1459.42,1038.89,34449.41,16800.19,17649.22,185.0399,634.5288,-449.4889,17,14,3
legacy_50k,start_2021,1000,467360.0,344618.2,122741.8,467360.0,344618.2,122741.8,0,0,0,94,164,-70,10,8,2,4780.8,9370.66,-4589.86,2498.31,1506.13,992.18,34449.41,17324.56,17124.85,185.0399,642.1601,-457.1202,17,13,4
legacy_50k,start_2021,2000,467360.0,338566.75,128793.25,467360.0,338566.75,128793.25,0,0,0,94,157,-63,10,8,2,4780.8,8243.79,-3462.99,2498.31,1528.27,970.04,34449.41,18450.61,15998.8,185.0399,574.0384,-388.9985,17,20,-3
legacy_50k,start_2021,3000,528960.0,414974.55,113985.45,528960.0,414974.55,113985.45,0,0,0,57,115,-58,11,7,4,2258.93,5848.88,-3589.95,3366.18,2157.34,1208.84,51776.02,29314.47,22461.55,193.8558,480.852,-286.9962,15,20,-5
legacy_50k,start_2021,3100,522610.0,409921.4,112688.6,522610.0,409921.4,112688.6,0,0,0,57,116,-59,11,7,4,2250.11,5863.38,-3613.27,3469.71,2218.29,1251.42,53383.62,30126.67,23256.95,199.1677,494.7492,-295.5815,15,20,-5
legacy_50k,start_2021,3200,521290.0,402414.75,118875.25,521290.0,402414.75,118875.25,0,0,0,57,116,-59,11,7,4,2087.12,5866.58,-3779.46,3548.75,2252.78,1295.97,54886.6,30591.46,24295.14,197.9886,500.5537,-302.5651,16,20,-4
legacy_50k,start_2021,3300,520290.0,433066.9,87223.1,520290.0,433066.9,87223.1,0,0,0,57,95,-38,11,7,4,2083.61,4718.4,-2634.79,3599.77,2347.64,1252.13,55681.91,33246.62,22435.29,200.3156,453.4755,-253.1599,16,20,-4
legacy_50k,start_2021,3400,523040.0,431235.9,91804.1,523040.0,431235.9,91804.1,0,0,0,57,95,-38,11,7,4,2103.84,4852.95,-2749.11,3615.45,2413.12,1202.33,56790.03,34012.85,22777.18,198.1693,465.5825,-267.4132,18,20,-2
legacy_50k,start_2021,3500,522540.0,429303.6,93236.4,522540.0,429303.6,93236.4,0,0,0,57,95,-38,11,7,4,2102.52,4868.9,-2766.38,3750.04,2480.57,1269.47,58906.52,34943.97,23962.55,192.5278,469.9357,-277.4079,17,20,-3
legacy_50k,start_2021,3600,517625.0,424475.1,93149.9,517625.0,424475.1,93149.9,0,0,0,55,95,-40,12,7,5,1958.87,4674.27,-2715.4,3838.33,2530.98,1307.35,60566.8,35898.37,24668.43,217.7517,469.6235,-251.8718,16,20,-4
legacy_50k,start_2021,3700,529165.0,426369.55,102795.45,529165.0,426369.55,102795.45,0,0,0,49,93,-44,12,9,3,1842.07,4866.34,-3024.27,3930.62,2619.5,1311.12,62250.77,36904.42,25346.35,234.9328,470.1407,-235.2079,11,20,-9
legacy_50k,start_2021,3800,528215.0,418225.85,109989.15,528215.0,418225.85,109989.15,0,0,0,49,92,-43,12,10,2,1823.54,4767.35,-2943.81,4010.6,2681.0,1329.6,63554.22,37902.4,25651.82,243.7363,463.2399,-219.5036,11,20,-9
legacy_50k,start_2021,3900,528275.0,413906.5,114368.5,528275.0,413906.5,114368.5,0,0,0,45,92,-47,12,10,2,1771.44,4763.03,-2991.59,4065.92,2738.84,1327.08,64536.03,38725.97,25810.06,254.8055,478.9267,-224.1212,11,20,-9
legacy_50k,start_2021,4000,528805.0,408587.55,120217.45,528805.0,408587.55,120217.45,0,0,0,43,92,-49,12,10,2,1753.65,4561.32,-2807.67,4184.03,2776.09,1407.94,66447.48,39530.37,26917.11,264.2178,489.437,-225.2192,10,20,-10
legacy_50k,start_2021,4100,523685.0,404380.7,119304.3,523685.0,404380.7,119304.3,0,0,0,40,91,-51,11,11,0,1771.75,4579.69,-2807.94,4258.99,2844.95,1414.04,67599.73,40484.92,27114.81,269.171,521.557,-252.386,10,19,-9
legacy_50k,start_2021,4200,523235.0,399275.0,123960.0,523235.0,399275.0,123960.0,0,0,0,40,92,-52,11,12,-1,1768.17,4607.27,-2839.1,4312.97,2886.74,1426.23,68464.23,41040.25,27423.98,282.7016,516.3897,-233.6881,10,19,-9
legacy_50k,start_2021,4300,522825.0,398720.35,124104.65,522825.0,398720.35,124104.65,0,0,0,40,90,-50,11,13,-2,1726.38,4464.44,-2738.06,4398.88,2970.5,1428.38,69919.19,42441.45,27477.74,287.5048,530.2158,-242.711,10,20,-10
legacy_50k,start_2021,4400,520035.0,394156.2,125878.8,520035.0,394156.2,125878.8,0,0,0,38,90,-52,11,13,-2,1678.83,4451.38,-2772.55,4451.29,3025.16,1426.13,70857.06,43241.98,27615.08,303.4955,537.9959,-234.5004,10,20,-10
legacy_50k,start_2021,4500,519120.0,506817.83,12302.17,519120.0,506817.83,12302.17,0,0,0,41,50,-9,11,11,0,1633.81,2142.06,-508.25,4553.94,3496.08,1057.86,72592.72,54847.04,17745.68,311.487,198.7547,112.7323,10,20,-10
legacy_50k,start_2021,5000,509620.0,497847.9,11772.1,509620.0,497847.9,11772.1,0,0,0,41,51,-10,11,11,0,1599.27,1837.01,-237.74,4931.1,3846.64,1084.46,78689.43,60930.44,17758.99,362.79,241.0524,121.7376,10,20,-10
legacy_50k,start_2021,5700,493900.0,499906.22,-6006.22,495802.1,501805.17,-6003.07,1902.1,1898.95,3.15,37,37,0,13,13,0,1338.78,1356.35,-17.57,5455.18,4525.15,930.03,87757.24,72756.39,15000.85,470.1058,382.1087,87.9971,10,20,-10
legacy_50k,start_2021,6000,488840.0,493763.05,-4923.05,488840.0,493763.05,-4923.05,0,0,0,37,37,0,13,13,0,1314.43,1347.98,-33.55,5704.92,4743.06,961.86,91843.59,76279.78,15563.81,509.9933,405.5576,104.4357,11,20,-9
legacy_50k,start_2021,6100,484490.0,491923.05,-7433.05,484490.0,491923.05,-7433.05,0,0,0,37,37,0,13,13,0,1294.4,1319.6,-25.2,5774.18,4790.34,983.84,93015.98,77107.47,15908.51,525.3885,402.971,122.4175,7,20,-13
legacy_50k,start_2021,6200,484040.0,490043.05,-6003.05,484040.0,490043.05,-6003.05,0,0,0,37,37,0,13,13,0,1288.85,1319.6,-30.75,5814.5,4867.73,946.77,93681.53,78353.15,15328.38,533.5327,417.8569,115.6758,7,20,-13
legacy_50k,start_2021,6300,484155.0,488163.05,-4008.05,488731.9,488163.05,568.85,4576.9,0,4576.9,36,37,-1,13,13,0,1262.13,1316.67,-54.54,5897.42,4931.97,965.45,95095.58,79394.47,15701.11,550.4568,415.393,135.0638,6,20,-14
legacy_50k,start_2021,6400,487925.0,486283.05,1641.95,520316.16,486283.05,34033.11,32391.16,0,32391.16,30,37,-7,13,13,0,1104.18,1316.67,-212.49,5964.83,5018.82,946.01,96649.84,80792.61,15857.23,560.684,438.9119,121.7721,5,20,-15
legacy_50k,start_2021,6500,489860.0,484573.05,5286.95,532266.19,484573.05,47693.14,42406.19,0,42406.19,23,37,-14,15,11,4,967.35,1427.39,-460.04,6071.18,5087.92,983.26,98784.95,81625.63,17159.32,571.3155,439.218,132.0975,5,20,-15
legacy_50k,start_2021,6600,495800.0,482684.34,13115.66,583023.24,482684.34,100338.9,87223.24,0,87223.24,13,37,-24,19,11,8,521.02,1424.41,-903.39,6143.9,5174.98,968.92,101328.03,83029.87,18298.16,560.889,468.3044,92.5846,2,20,-18
legacy_50k,start_2021,6700,496410.0,479891.87,16518.13,588551.51,479891.87,108659.64,92141.51,0,92141.51,12,44,-32,20,7,13,415.37,1686.7,-1271.33,6190.62,5290.61,900.01,102422.81,84197.05,18225.76,577.9064,513.294,64.6124,2,20,-18
