case,experiment,phase,start_year,path_order,portfolio,nominal_sleeves,rr_count,rr_width,mean_target,net_operating_cash,receipts,total_costs,copies,prior_control_reproduced,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive,largest_within_sleeve_signal_loss,max_sleeves_lost_same_signal,multi_sleeve_signal_events,max_sleeves_lost_same_day,multi_sleeve_day_events,sleeve_loss_events,full_copier_sleeve_loss_events,observed_live_days,mean_live_accounts,mean_occupied_sleeves,mean_equal_headroom_fraction,mean_effective_headroom_groups,mean_total_headroom,mean_total_positive_equity,march1_alive,march_cohort_deaths,march_total_deaths,march31_alive
primary__isolation__2024__mae_first__rr_2.25,primary,isolation,2024,mae_first,rr_2.25,1,1,0.0,6800.0,306000.0,310000.0,4000.0,59240,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,130650.94054054054,131830.6627027027,20,0,0,20
primary__isolation__2024__mae_first__rr_2.39,primary,isolation,2024,mae_first,rr_2.39,1,1,0.0,6800.0,346000.0,350000.0,4000.0,58140,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,141728.34702702702,142908.34054054055,20,0,0,20
primary__isolation__2024__mae_first__rr_2.50,primary,isolation,2024,mae_first,rr_2.50,1,1,0.0,6800.0,346000.0,350000.0,4000.0,57320,True,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,140780.27783783784,141991.44108108108,20,0,0,20
primary__isolation__2024__mae_first__rr_2.55,primary,isolation,2024,mae_first,rr_2.55,1,1,0.0,6800.0,346000.0,350000.0,4000.0,56940,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,138865.60864864866,140076.7718918919,20,0,0,20
primary__isolation__2024__mae_first__rr_2.71,primary,isolation,2024,mae_first,rr_2.71,1,1,0.0,6800.0,346000.0,350000.0,4000.0,56060,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,137544.36756756756,138733.88216216216,20,0,0,20
primary__isolation__2024__mae_first__rr_2.75,primary,isolation,2024,mae_first,rr_2.75,1,1,0.0,6800.0,316000.0,320000.0,4000.0,56000,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,127535.5145945946,128855.34702702703,20,0,0,20
primary__isolation__2024__mae_first__rr_2.83,primary,isolation,2024,mae_first,rr_2.83,1,1,0.0,6800.0,316000.0,320000.0,4000.0,55620,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,130369.06054054054,131621.11351351353,20,0,0,20
primary__isolation__2024__mae_first__rr_2.87,primary,isolation,2024,mae_first,rr_2.87,1,1,0.0,6800.0,326000.0,330000.0,4000.0,55520,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,133613.84756756757,134865.90054054055,20,0,0,20
primary__isolation__2024__mae_first__rr_3.03,primary,isolation,2024,mae_first,rr_3.03,1,1,0.0,6800.0,316000.0,320000.0,4000.0,54760,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,135035.29513513512,136363.90378378378,20,0,0,20
primary__isolation__2024__mae_first__rr_3.17,primary,isolation,2024,mae_first,rr_3.17,1,1,0.0,6800.0,316000.0,320000.0,4000.0,54200,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,136454.0572972973,137788.14702702704,20,0,0,20
primary__isolation__2024__mae_first__rr_3.18,primary,isolation,2024,mae_first,rr_3.18,1,1,0.0,6800.0,316000.0,320000.0,4000.0,54140,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,138464.28756756758,139798.3772972973,20,0,0,20
primary__isolation__2024__mae_first__rr_3.25,primary,isolation,2024,mae_first,rr_3.25,1,1,0.0,6800.0,306000.0,310000.0,4000.0,53720,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,139076.15459459458,140447.95027027026,20,0,0,20
primary__isolation__2024__mae_first__rr_3.34,primary,isolation,2024,mae_first,rr_3.34,1,1,0.0,6800.0,296000.0,300000.0,4000.0,53280,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,133355.40972972973,134763.69297297296,20,0,0,20
primary__isolation__2024__mae_first__rr_3.50,primary,isolation,2024,mae_first,rr_3.50,1,1,0.0,6800.0,296000.0,300000.0,4000.0,52500,True,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,135842.61513513513,137058.5664864865,20,0,0,20
