case,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,deaths_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,net_operating_cash_delta_vs_rr1,mean_total_positive_equity_delta_vs_rr1
march__operating__2020__mae_first__rr_0.50,-1,31.174,-52,-2,-2,-15896.35,-2311.1744
march__operating__2020__mae_first__rr_0.66,-1,1.9696,-13,-11,-3,-102034.8,-4867.4745
march__operating__2020__mae_first__rr_0.75,1,22.3794,-24,-4,-3,-56213.3,-2983.8107
march__operating__2020__mae_first__rr_0.82,1,59.7166,-26,-10,-7,-81455.95,-5462.7515
march__operating__2020__mae_first__rr_0.83,0,52.9763,-23,-4,-2,-81041.95,-5378.1336
march__operating__2020__mae_first__rr_0.97,5,270.6069,-11,-11,1,-131607.45,-11795.46
march__operating__2020__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
march__operating__2020__mae_first__rr_1.13,0,-4.294,-44,-11,-4,243336.28,19501.3863
march__operating__2020__mae_first__rr_1.17,1,1.2847,-23,0,0,194762.45,19255.0777
march__operating__2020__mae_first__rr_1.25,1,-0.1396,-21,0,0,161327.45,21749.035
march__operating__2020__mae_first__rr_1.29,1,-0.0042,-36,0,0,202672.68,25917.0131
march__operating__2020__mae_first__rr_1.45,2,20.9909,-31,0,1,195613.54,25727.8775
march__operating__2020__mae_first__rr_1.50,2,6.7819,-28,0,1,196133.16,24363.9013
march__operating__2020__mae_first__rr_1.61,2,12.9807,-39,0,1,213819.33,26624.9074
march__operating__2020__mae_first__rr_1.75,1,6.5675,-36,0,1,253669.11,32556.7999
march__operating__2020__mae_first__rr_1.76,1,12.1682,-33,0,1,273060.81,31321.3513
march__operating__2020__mae_first__rr_1.83,-1,-5.3058,-70,-15,-15,297738.15,36561.3801
march__operating__2020__mae_first__rr_1.92,-1,-5.3058,-34,-2,-1,211221.6,28322.1494
march__operating__2020__mae_first__rr_2.00,-1,-5.3058,-55,-12,-12,244106.18,32627.5157
march__operating__2020__mae_first__rr_2.08,-1,-5.3058,-53,-11,-11,253590.87,29449.0403
march__operating__2020__mae_first__rr_2.24,-1,-5.1482,-54,-14,-11,264540.52,31976.4123
march__operating__2020__mae_first__rr_2.17,-1,-5.1482,-58,-13,-13,244664.86,30793.3766
march__operating__2020__mae_first__rr_2.25,-1,-5.1482,-45,-13,-9,257778.97,28455.8727
march__operating__2020__mae_first__rr_2.39,1,2.5067,-23,0,0,257254.04,22972.5808
march__operating__2020__mae_first__rr_2.50,0,-1.804,-43,-12,-11,311107.12,29102.6965
march__operating__2020__mae_first__rr_2.55,0,-1.804,-51,-12,-11,320143.03,31788.5645
march__operating__2020__mae_first__rr_2.71,0,-1.4806,-46,-12,-12,305380.36,25924.5316
march__operating__2020__mae_first__rr_2.75,0,-1.4806,-44,-12,-12,267734.87,25863.2076
march__operating__2020__mae_first__rr_2.87,0,-1.4806,-41,-11,-11,282956.65,22663.5732
march__operating__2020__mae_first__rr_2.83,0,-1.4806,-41,-11,-11,270348.78,22274.7648
march__operating__2020__mae_first__rr_3.03,0,40.3076,-39,-9,-9,296835.56,25385.4631
march__operating__2020__mae_first__rr_3.17,0,40.3076,-23,-9,-8,261750.38,19190.8957
march__operating__2020__mae_first__rr_3.18,0,-1.0313,-41,-10,-10,302517.17,24670.621
march__operating__2020__mae_first__rr_3.25,0,-1.0313,-50,-10,-10,332014.41,28860.6002
march__operating__2020__mae_first__rr_3.34,0,-1.0313,-48,-14,-10,277168.11,28407.3339
march__operating__2020__mae_first__rr_3.50,0,-1.0313,-37,-14,-9,264901.02,23853.9094
march__operating__2020__mae_first__wide4,-2,-13.4262,-36,-15,-12,221621.91,24296.9012
march__operating__2020__mae_first__center4,0,-4.4517,-26,-12,-9,219937.88,24177.5261
march__operating__2020__mae_first__edge4,-2,-13.4262,-32,-15,-12,191933.6,19665.6711
march__operating__2020__mae_first__without050,-1,-5.3058,-41,-13,-8,229863.74,26547.8985
march__operating__2020__mae_first__extremes2,-2,-13.4262,-17,-12,-8,172987.6,16426.6228
march__operating__2020__mae_first__grid5,-2,-13.4262,-39,-16,-13,206639.64,23079.6818
march__operating__2020__mae_first__ladder4,-1,-5.3058,-13,-5,-1,63826.1,6999.5502
march__operating__2020__mae_first__ladder20,-1,-5.3058,-11,-5,-1,63435.52,5797.3045
march__operating__2020__mae_first__uniform_low,0,6.9182,-3,0,0,85236.6,-3203.8652
march__operating__2020__mae_first__grid10,-2,-13.4262,-41,-17,-11,229190.18,24289.2106
march__operating__2020__mae_first__uniform_high,-1,-5.3058,-37,-10,-1,-39762.85,7469.312
march__operating__2020__mae_first__ladder20_reverse,-1,-5.3058,-19,-10,-1,-20626.14,313.9887
march__operating__2020__mfe_first__rr_0.50,2,493.8629,-42,-1,-2,-140983.9,-12660.8241
march__operating__2020__mfe_first__rr_0.66,-1,-11.0304,-18,-10,-3,-122177.55,-9503.715
march__operating__2020__mfe_first__rr_0.75,3,515.5416,-11,-3,-3,-199377.7,-20432.5951
march__operating__2020__mfe_first__rr_0.82,3,512.5921,-12,-9,-8,-173495.0,-15460.8954
march__operating__2020__mae_first__grid20,-2,-13.4262,-32,-15,-11,234501.0,26506.2184
march__operating__2020__mfe_first__rr_0.83,2,89.253,-28,-3,-2,-106172.6,-10228.8186
march__operating__2020__mfe_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
march__operating__2020__mfe_first__rr_0.97,7,419.8884,-11,-8,1,-122410.45,-11049.8322
march__operating__2020__mfe_first__rr_1.13,0,-17.294,-48,-11,-5,252703.78,21028.2378
march__operating__2020__mae_first__grid20_reverse,0,-1.0313,-60,-18,-13,271345.66,34617.2045
march__operating__2020__mfe_first__rr_1.25,1,0.8604,-35,1,0,181169.95,24851.5113
march__operating__2020__mfe_first__rr_1.17,1,1.2847,-35,1,0,217635.45,23102.3324
march__operating__2020__mfe_first__rr_1.29,1,0.9958,-42,1,0,209105.38,27185.9485
march__operating__2020__mfe_first__rr_1.61,1,6.7312,-42,1,0,216507.93,26783.341
march__operating__2020__mfe_first__rr_1.45,2,7.9909,-41,1,1,206671.89,27526.2859
march__operating__2020__mfe_first__rr_1.50,1,0.6851,-38,1,0,207066.06,26512.6916
march__operating__2020__mfe_first__rr_1.75,0,0.318,-37,1,0,256140.71,32727.0125
march__operating__2020__mfe_first__rr_1.76,0,5.9187,-35,1,0,275749.41,31488.679
march__operating__2020__mfe_first__rr_1.92,-1,-18.3058,-43,-1,-2,221763.25,29500.0556
march__operating__2020__mfe_first__rr_1.83,-1,-18.3058,-72,-14,-15,299852.3,36238.9104
march__operating__2020__mfe_first__rr_2.00,-1,-18.3058,-56,-11,-12,243905.03,32069.6498
march__operating__2020__mfe_first__rr_2.08,-1,-18.3058,-49,-10,-11,256745.17,29599.4247
march__operating__2020__mfe_first__rr_2.17,-1,-18.1482,-62,-12,-13,247255.46,30675.4707
march__operating__2020__mfe_first__rr_2.24,-1,-18.1482,-59,-13,-12,267386.92,31894.2458
march__operating__2020__mfe_first__rr_2.25,-1,-18.1482,-45,-12,-11,261872.27,28698.8876
march__operating__2020__mfe_first__rr_2.39,1,3.5067,-24,1,0,258775.09,22979.7196
march__operating__2020__mfe_first__rr_2.50,0,-14.804,-44,-11,-11,311833.31,28724.0354
march__operating__2020__mfe_first__rr_2.55,0,-14.804,-51,-11,-12,321195.1,31465.8948
march__operating__2020__mfe_first__rr_2.71,0,-14.4806,-46,-11,-12,308338.0,25890.3319
march__operating__2020__mfe_first__rr_2.75,0,-14.4806,-44,-11,-12,269648.37,25656.0049
march__operating__2020__mfe_first__rr_2.83,0,-14.4806,-42,-10,-11,276344.77,22561.3722
march__operating__2020__mfe_first__rr_2.87,0,-14.4806,-42,-10,-11,288965.25,23042.1808
march__operating__2020__mfe_first__rr_3.03,0,27.3076,-37,-8,-9,291061.31,23847.7961
march__operating__2020__mfe_first__rr_3.17,0,27.3076,-16,-8,-7,237508.69,15054.7355
march__operating__2020__mfe_first__rr_3.18,0,-14.0313,-36,-9,-10,300681.28,23561.5975
march__operating__2020__mfe_first__rr_3.25,0,-14.0313,-47,-9,-10,326693.12,27186.9421
march__operating__2020__mfe_first__rr_3.34,0,-14.0313,-45,-12,-10,267869.34,26668.3267
march__operating__2020__mfe_first__rr_3.50,0,-14.0313,-35,-11,-9,263754.61,22513.746
march__operating__2020__mfe_first__center4,0,-17.4517,-31,-13,-10,230061.33,25363.5592
march__operating__2020__mfe_first__wide4,-2,-26.4262,-36,-14,-13,215290.72,22532.5641
march__operating__2020__mfe_first__edge4,-2,-26.4262,-31,-14,-12,193755.0,19531.5973
march__operating__2020__mfe_first__without050,-1,-18.3058,-44,-12,-8,228750.67,25500.4802
march__operating__2020__mfe_first__extremes2,-2,-26.4262,-16,-11,-8,168986.0,15490.0084
march__operating__2020__mfe_first__grid5,-2,-26.4262,-39,-15,-13,205494.49,22464.5056
march__operating__2020__mfe_first__ladder4,-1,-18.3058,-21,-5,-1,76427.3,8301.9877
march__operating__2020__mfe_first__ladder20,-1,-18.3058,-19,-5,-1,73974.82,7014.1192
march__operating__2020__mfe_first__uniform_low,0,6.9182,-10,1,0,96560.0,-2081.9809
march__operating__2020__mfe_first__uniform_high,-1,-18.3058,-36,-9,-1,-37501.45,7375.8163
march__operating__2020__mfe_first__grid10,-2,-26.4262,-39,-16,-11,225480.3,23464.7718
march__operating__2020__mfe_first__ladder20_reverse,-1,-18.3058,-20,-9,-1,-19421.34,170.5479
primary__operating__2020__mfe_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2020__mfe_first__wide4,-2,-0.3088,-7,-4,-5,37438.0,9808.5875
march__operating__2020__mfe_first__grid20,-2,-26.4262,-29,-15,-11,227592.1,25030.6505
primary__operating__2020__mfe_first__center4,0,0.1576,-10,0,-6,63328.0,14933.9323
primary__operating__2020__mfe_first__extremes2,-2,-0.3088,22,0,0,-66916.0,-6089.6651
primary__operating__2020__mfe_first__edge4,-2,-0.3088,8,-4,-2,-24963.0,1095.8681
march__operating__2020__mfe_first__grid20_reverse,0,-14.0313,-62,-16,-13,274467.31,34578.7832
primary__operating__2020__mfe_first__without050,0,0.0,2,-3,-4,14919.0,3243.6814
primary__operating__2020__mfe_first__ladder4,0,0.0,8,0,0,-4212.0,-974.1192
primary__operating__2020__mfe_first__grid5,-2,-0.3088,8,-4,-4,-3844.0,3118.5884
primary__operating__2020__mfe_first__ladder20,0,0.0,8,0,0,-3712.0,-1598.8046
primary__operating__2020__mfe_first__uniform_low,1,23.1593,23,2,7,11241.0,-12775.0358
primary__operating__2020__mfe_first__grid10,-2,-0.3088,-7,-4,-7,42772.0,10041.6132
primary__operating__2020__mfe_first__uniform_high,0,0.0,0,0,0,-30000.0,9661.3238
primary__operating__2023__mfe_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2020__mfe_first__ladder20_reverse,0,0.0,9,0,0,-8837.0,-135.6946
primary__operating__2023__mfe_first__wide4,-1,-42.2197,8,-3,-1,-1943.0,-4831.451
primary__operating__2023__mfe_first__center4,-1,-42.2197,8,-3,-1,10729.0,-2351.5919
primary__operating__2023__mfe_first__edge4,0,5.0139,8,-3,0,-19995.0,-2348.6504
primary__operating__2020__mfe_first__grid20,-2,-0.3088,-3,-4,-7,45924.0,12499.8036
primary__operating__2023__mfe_first__without050,-1,-42.2197,11,-3,-1,-4410.0,-5030.2754
primary__operating__2023__mfe_first__extremes2,0,5.8703,1,-2,0,-20021.0,-3457.5245
primary__operating__2023__mfe_first__grid5,0,-34.053,7,-3,-1,-12903.0,-5330.6116
primary__operating__2023__mfe_first__ladder4,0,0.0,6,0,4,-2922.0,-3120.0614
primary__operating__2023__mfe_first__grid10,0,6.0007,-4,-4,0,35000.0,6756.8681
primary__operating__2023__mfe_first__ladder20,0,0.0,7,0,5,578.0,-6448.088
primary__operating__2023__mfe_first__uniform_low,1,21.1592,15,2,13,7078.0,-14840.5483
primary__operating__2023__mfe_first__uniform_high,0,0.0,0,0,0,-21000.0,9906.304
primary__operating__2020__mfe_first__grid20_reverse,0,0.7507,-20,-4,-7,96363.0,23374.5839
primary__operating__2023__mfe_first__ladder20_reverse,0,0.0,0,0,0,-6500.0,3867.0121
primary__operating__2023__mfe_first__grid20,0,6.0007,-2,-3,0,21592.0,2122.3804
primary__operating__2023__mfe_first__grid20_reverse,0,-34.0743,4,-3,0,36986.0,7713.2981
