case,account_id,sleeve,rr,reserve,death_window,death_entry_at,died_at
march__operating__2020__mae_first__rr_1.76,17,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,20,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,21,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,31,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,32,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,52,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,53,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,63,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,64,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,65,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,68,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.76,69,0,1.76,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.92,4,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,9,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,10,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,11,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,12,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,13,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,14,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,15,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,16,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,17,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,18,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,30,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,31,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,53,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,67,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,71,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_1.92,72,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
