case,at,live_before_final_loss,max_live_ever_before,max_live_preceding_20_calendar_days,reopened_at,days_until_reopening
primary__operating__2020__mae_first__ladder20,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__uniform_high,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__uniform_high,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__isolation__2021__mae_first__rr_0.50,2021-03-08T15:30:00,20,20,20,,
primary__operating__2020__mae_first__ladder20_reverse,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__ladder20_reverse,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__isolation__2021__mae_first__rr_0.66,2021-02-23T22:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_0.75,2021-02-23T16:34:40,20,20,20,,
primary__isolation__2021__mae_first__rr_0.82,2021-02-22T16:42:20,20,20,20,,
primary__isolation__2021__mae_first__rr_0.83,2021-02-22T20:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_0.97,2021-02-18T21:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_1.00,2021-02-22T16:42:20,20,20,20,,
primary__isolation__2021__mae_first__rr_1.13,2021-02-22T16:34:40,20,20,20,,
primary__isolation__2021__mae_first__rr_1.17,2021-02-22T16:42:20,20,20,20,,
primary__isolation__2021__mae_first__rr_1.25,2021-02-22T22:24:40,20,20,20,,
primary__isolation__2021__mae_first__rr_1.29,2021-02-23T16:34:40,20,20,20,,
primary__isolation__2021__mae_first__rr_1.45,2021-02-23T23:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_1.50,2021-02-23T23:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_1.61,2021-02-26T01:58:40,20,20,20,,
primary__isolation__2021__mae_first__rr_1.75,2021-03-05T16:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_1.76,2021-03-05T16:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_2.00,2021-06-21T09:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_2.08,2021-03-05T16:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_2.50,2021-10-01T15:30:00,20,20,20,,
primary__operating__2020__mae_first__grid20_reverse,2020-03-12T03:05:40,1,1,1,2020-03-13T00:00:00,0.8710648148148148
primary__operating__2020__mae_first__grid20_reverse,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__isolation__2021__mae_first__rr_2.71,2021-02-26T16:00:00,20,20,20,,
primary__isolation__2021__mae_first__rr_2.75,2021-02-23T23:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_2.83,2021-02-23T23:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_2.87,2021-02-23T23:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_3.17,2021-02-23T23:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_3.03,2021-02-23T23:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_3.18,2021-02-23T23:30:00,20,20,20,,
primary__isolation__2021__mae_first__rr_3.25,2021-02-25T22:15:40,20,20,20,,
primary__isolation__2021__mae_first__rr_3.34,2021-02-25T22:15:40,20,20,20,,
primary__isolation__2021__mae_first__rr_3.50,2021-02-25T22:15:40,20,20,20,,
primary__isolation__2021__mae_first__wide4,2021-10-01T15:30:00,5,20,5,,
primary__isolation__2021__mae_first__edge4,2021-03-08T15:30:00,5,20,20,,
primary__isolation__2021__mae_first__without050,2021-10-01T15:30:00,5,20,5,,
primary__isolation__2021__mae_first__extremes2,2021-03-08T15:30:00,10,20,20,,
primary__isolation__2021__mae_first__ladder4,2021-02-22T16:42:20,20,20,20,,
primary__isolation__2021__mae_first__grid5,2021-06-21T09:30:00,4,20,4,,
primary__isolation__2021__mae_first__ladder20,2021-02-22T16:42:20,20,20,20,,
primary__isolation__2021__mae_first__uniform_low,2021-02-22T16:42:20,20,20,20,,
primary__isolation__2021__mae_first__uniform_high,2021-02-22T16:42:20,20,20,20,,
primary__isolation__2021__mae_first__ladder20_reverse,2021-02-22T16:42:20,20,20,20,,
primary__operating__2021__mae_first__rr_0.50,2021-06-07T16:40:40,1,4,2,2021-07-03T00:00:00,25.305092592592594
primary__operating__2021__mae_first__rr_0.66,2021-06-18T16:30:40,1,4,1,2021-07-08T00:00:00,19.312037037037037
primary__operating__2021__mae_first__rr_0.75,2021-06-17T14:30:00,1,4,1,2021-07-08T00:00:00,20.395833333333332
primary__operating__2021__mae_first__rr_0.75,2022-01-07T23:30:00,1,7,7,2022-01-12T00:00:00,4.020833333333333
primary__operating__2021__mae_first__rr_0.82,2021-06-15T23:30:00,1,4,2,2021-07-08T00:00:00,22.020833333333332
primary__operating__2021__mae_first__rr_0.83,2021-06-15T23:30:00,1,4,2,2021-07-08T00:00:00,22.020833333333332
primary__operating__2021__mae_first__rr_0.83,2022-01-10T16:31:40,1,7,7,2022-01-12T00:00:00,1.3113425925925926
primary__operating__2021__mae_first__rr_0.97,2021-06-21T09:30:00,1,4,2,2021-07-03T00:00:00,11.604166666666666
primary__operating__2021__mae_first__rr_0.97,2022-01-10T13:23:40,1,7,7,2022-01-12T00:00:00,1.441898148148148
primary__operating__2021__mae_first__rr_0.97,2022-06-14T22:08:40,2,9,2,2022-07-07T00:00:00,22.077314814814816
primary__operating__2021__mae_first__rr_1.00,2022-01-10T20:30:00,1,8,8,2022-01-12T00:00:00,1.1458333333333333
primary__operating__2021__mae_first__rr_1.00,2022-06-14T23:30:00,2,9,2,2022-07-07T00:00:00,22.020833333333332
primary__operating__2021__mae_first__rr_1.13,2021-02-26T10:30:00,1,1,1,2021-02-27T00:00:00,0.5625
primary__operating__2021__mae_first__rr_1.13,2021-06-07T08:07:20,1,3,3,2021-07-03T00:00:00,25.661574074074075
primary__operating__2021__mae_first__rr_1.13,2022-07-01T16:36:20,1,9,2,2022-07-07T00:00:00,5.308101851851852
primary__operating__2021__mae_first__rr_1.17,2021-02-26T10:30:00,1,1,1,2021-02-27T00:00:00,0.5625
primary__operating__2021__mae_first__rr_1.17,2021-06-07T16:40:40,1,3,3,2021-07-03T00:00:00,25.305092592592594
primary__operating__2021__mae_first__rr_1.25,2022-06-17T10:42:20,2,10,2,2022-06-22T00:00:00,4.5539351851851855
primary__operating__2021__mae_first__rr_1.25,2022-07-01T11:06:40,1,10,2,2022-07-07T00:00:00,5.537037037037037
primary__operating__2021__mae_first__rr_1.29,2022-06-17T17:33:40,1,10,4,2022-07-07T00:00:00,19.268287037037037
primary__operating__2021__mae_first__rr_1.92,2021-09-30T16:03:40,6,6,6,2021-10-01T00:00:00,0.33078703703703705
primary__operating__2021__mae_first__rr_2.00,2021-09-30T16:03:40,6,6,6,2021-10-01T00:00:00,0.33078703703703705
primary__operating__2021__mae_first__rr_2.08,2021-09-30T17:30:40,5,5,5,2021-10-01T00:00:00,0.27037037037037037
primary__operating__2021__mae_first__rr_2.17,2021-09-30T17:30:40,6,6,6,2021-10-01T00:00:00,0.27037037037037037
primary__operating__2021__mae_first__rr_2.17,2022-06-30T14:40:40,2,8,2,2022-07-07T00:00:00,6.388425925925926
primary__operating__2021__mae_first__rr_2.17,2023-01-05T15:30:40,2,10,3,2023-01-07T00:00:00,1.3537037037037036
primary__operating__2021__mae_first__rr_2.24,2022-06-30T18:30:00,1,9,3,2022-07-07T00:00:00,6.229166666666667
primary__operating__2021__mae_first__rr_2.24,2023-01-05T15:30:40,4,10,4,2023-01-07T00:00:00,1.3537037037037036
primary__operating__2021__mae_first__rr_2.25,2022-07-01T16:36:20,1,9,3,2022-07-07T00:00:00,5.308101851851852
primary__operating__2021__mae_first__rr_2.25,2023-01-05T15:30:40,4,10,4,2023-01-07T00:00:00,1.3537037037037036
primary__operating__2021__mae_first__rr_2.39,2022-01-10T16:31:40,2,7,4,2022-01-12T00:00:00,1.3113425925925926
