case,start,left,right,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change,left_pnl,right_pnl,left_mdd,right_mdd
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:1.50,864.55,2319.7250000000004,2020-03-12,28,40,True,7,-1025.7749999999999,-1545.6250000000002,-2065.7749999999996,799.05,930.05,1542.1,3202.1
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:1.75,53.349999999999966,2378.8,2020-03-20,29,41,True,8,-1065.0749999999998,-1574.6499999999999,-2317.1,799.05,-692.35,1542.1,3773.35
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:2.00,604.075,2350.625,2020-03-19,29,41,True,8,-1065.0749999999998,-1629.5499999999997,-2336.125,799.05,409.1,1542.1,3604.45
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:2.25,255.97499999999997,2584.25,2020-03-19,29,41,True,8,-1065.075,-1613.35,-2569.75,799.05,-287.1,1542.1,4001.75
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:2.50,147.22499999999997,2701.9,2020-03-19,29,41,True,8,-1065.075,-1641.675,-2687.4000000000005,799.05,-504.6,1542.1,4228.25
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:2.75,357.92499999999995,2685.875,2020-03-19,29,41,True,6,-1065.0749999999998,-1641.675,-2671.375,799.05,-83.2,1542.1,4196.2
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:3.00,-110.35000000000002,2745.05,2020-03-19,29,41,True,6,-1065.0749999999998,-1641.675,-2730.55,799.05,-1019.75,1542.1,4314.55
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:3.25,-67.70000000000005,2705.525,2020-03-19,29,41,True,5,-1065.0749999999998,-1641.675,-2691.025,799.05,-934.45,1542.1,4235.5
3m_2020-01-01,2020-01-01T00:00:00,RR:2.00,GG:3.50,348.9,2525.425,2020-03-19,29,41,True,5,-1042.5,-1641.675,-2510.925,799.05,-101.25,1542.1,3875.3
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:0.50,1105.125,1901.15,2020-03-19,27,39,True,8,-886.5749999999999,-1502.275,-1901.15,776.45,1433.8,1742.9499999999998,2661.2
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:0.75,422.65000000000003,2270.475,2020-03-20,28,40,True,6,-886.575,-1405.475,-2224.4,776.45,68.85,1742.9499999999998,3541.85
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:1.00,17.100000000000023,2219.175,2020-03-19,28,40,True,7,-853.325,-1491.425,-2219.175,776.45,-742.25,1742.9499999999998,3371.9
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:1.25,984.625,2255.575,2020-03-12,28,40,True,7,-951.0500000000001,-1502.65,-1972.375,776.45,1192.8,1742.9499999999998,3029.65
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:1.50,853.25,2340.625,2020-03-12,28,40,True,7,-1025.775,-1660.875,-2094.425,776.45,930.05,1742.9499999999998,3202.1
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:1.75,42.05000000000001,2399.7,2020-03-20,29,41,True,8,-1065.075,-1579.375,-2338.0,776.45,-692.35,1742.9499999999998,3773.35
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:2.00,592.7750000000001,2371.525,2020-03-19,29,41,True,7,-1065.075,-1629.55,-2357.025,776.45,409.1,1742.9499999999998,3604.45
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:2.25,244.675,2605.1499999999996,2020-03-19,29,41,True,7,-1065.075,-1753.3,-2590.6499999999996,776.45,-287.1,1742.9499999999998,4001.75
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:2.50,135.925,2722.8,2020-03-19,29,41,True,8,-1065.075,-1781.625,-2708.3,776.45,-504.6,1742.9499999999998,4228.25
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:2.75,346.625,2706.7749999999996,2020-03-19,29,41,True,7,-1065.075,-1781.625,-2692.2749999999996,776.45,-83.2,1742.9499999999998,4196.2
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:3.00,-121.64999999999998,2765.95,2020-03-19,29,41,True,7,-1065.075,-1781.625,-2751.45,776.45,-1019.75,1742.9499999999998,4314.55
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:3.25,-79.0,2726.425,2020-03-19,29,41,True,7,-1065.075,-1781.625,-2711.925,776.45,-934.45,1742.9499999999998,4235.5
3m_2020-01-01,2020-01-01T00:00:00,RR:2.25,GG:3.50,337.6,2546.325,2020-03-19,29,41,True,5,-1042.5,-1781.625,-2531.825,776.45,-101.25,1742.9499999999998,3875.3
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:0.50,776.875,2276.675,2020-03-20,28,40,True,6,-886.5749999999999,-1606.25,-2203.35,119.95,1433.8,2085.9,2661.2
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:0.75,94.4,2676.6499999999996,2020-03-20,28,40,True,6,-886.575,-1509.4499999999998,-2579.875,119.95,68.85,2085.9,3541.85
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:1.00,-311.15,2598.125,2020-03-20,28,40,True,6,-853.325,-1718.375,-2521.375,119.95,-742.25,2085.9,3371.9
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:1.25,656.375,2557.775,2020-03-12,28,40,True,8,-951.0500000000001,-1729.6,-2247.55,119.95,1192.8,2085.9,3029.65
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:1.50,525.0,2642.825,2020-03-12,28,40,True,7,-1025.775,-1744.325,-2369.6,119.95,930.05,2085.9,3202.1
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:1.75,-286.2,2791.375,2020-03-20,28,40,True,7,-1065.075,-1730.3249999999998,-2638.875,119.95,-692.35,2085.9,3773.35
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:2.00,264.52500000000003,2722.45,2020-03-20,28,40,True,7,-1065.075,-1772.8000000000002,-2659.225,119.95,409.1,2085.9,3604.45
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:2.25,-83.57500000000002,2921.1000000000004,2020-03-20,28,40,True,8,-1065.0749999999998,-1753.3,-2892.85,119.95,-287.1,2085.9,4001.75
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:2.50,-192.32500000000002,3010.5,2020-03-19,28,40,True,9,-1065.075,-1781.625,-3010.5,119.95,-504.6,2085.9,4228.25
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:2.75,18.375,2994.4750000000004,2020-03-19,28,40,True,7,-1065.075,-1781.625,-2994.4750000000004,119.95,-83.2,2085.9,4196.2
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:3.00,-449.9,3077.5,2020-03-20,28,40,True,6,-1065.075,-1781.625,-3053.65,119.95,-1019.75,2085.9,4314.55
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:3.25,-407.25,3037.975,2020-03-20,28,40,True,6,-1065.075,-1781.625,-3014.125,119.95,-934.45,2085.9,4235.5
3m_2020-01-01,2020-01-01T00:00:00,RR:2.50,GG:3.50,9.350000000000001,2857.875,2020-03-20,28,40,True,5,-1042.5,-1781.625,-2834.025,119.95,-101.25,2085.9,3875.3
3m_2020-01-01,2020-01-01T00:00:00,RR:2.75,GG:0.50,817.725,2383.9,2020-03-20,28,40,True,6,-886.5749999999999,-1606.25,-2310.5750000000003,201.65,1433.8,2300.35,2661.2
3m_2020-01-01,2020-01-01T00:00:00,RR:2.75,GG:0.75,135.25,2783.875,2020-03-20,28,40,True,6,-886.575,-1516.6750000000002,-2687.1,201.65,68.85,2300.35,3541.85
3m_2020-01-01,2020-01-01T00:00:00,RR:2.75,GG:1.00,-270.3,2705.35,2020-03-20,28,40,True,6,-853.325,-1778.35,-2628.6000000000004,201.65,-742.25,2300.35,3371.9
3m_2020-01-01,2020-01-01T00:00:00,RR:2.75,GG:1.25,697.225,2665.0,2020-03-12,28,40,True,7,-951.05,-1789.575,-2354.775,201.65,1192.8,2300.35,3029.65
3m_2020-01-01,2020-01-01T00:00:00,RR:2.75,GG:1.50,565.85,2750.05,2020-03-12,28,40,True,8,-1025.7749999999999,-1804.3000000000002,-2476.825,201.65,930.05,2300.35,3202.1
3m_2020-01-01,2020-01-01T00:00:00,RR:2.75,GG:1.75,-245.35000000000002,2898.6,2020-03-20,28,40,True,8,-1065.075,-1790.3000000000002,-2746.1,201.65,-692.35,2300.35,3773.35
3m_2020-01-01,2020-01-01T00:00:00,RR:2.75,GG:2.00,305.375,2829.675,2020-03-20,28,40,True,7,-1065.075,-1832.775,-2766.45,201.65,409.1,2300.35,3604.45
3m_2020-01-01,2020-01-01T00:00:00,RR:2.75,GG:2.25,-42.72500000000001,3028.325,2020-03-20,28,40,True,8,-1065.075,-1786.525,-3000.075,201.65,-287.1,2300.35,4001.75
3m_2020-01-01,2020-01-01T00:00:00,RR:2.75,GG:2.50,-151.47500000000002,3117.7250000000004,2020-03-19,28,40,True,9,-1065.0749999999998,-1781.625,-3117.7250000000004,201.65,-504.6,2300.35,4228.25
