product,window,minimum_reserve,maximum_reserve,per_pa_capital_gap_pct,book_capital_gap_pct,within_tolerance,minimum_ongoing,maximum_ongoing,minimum_total,maximum_total,minimum_alive,maximum_alive,minimum_deaths,maximum_deaths,minimum_frozen_std,maximum_frozen_std,minimum_per_pa_capital,maximum_per_pa_capital,minimum_book_capital,maximum_book_capital
legacy_25k,start_2022,3000,4000,4.535,5.246,False,382882.0,358323.8,382882.0,362823.8,5,3,44,44,318.8419,362.0385,3023.85,3160.98,41540.18,43719.29
legacy_25k,start_2022,3100,4000,2.107,2.787,True,381882.0,358323.8,381882.0,362823.8,5,3,44,44,340.8124,362.0385,3095.75,3160.98,42533.69,43719.29
legacy_25k,start_2022,3200,4000,0.446,0.884,True,377882.0,358323.8,377882.0,362823.8,5,3,44,44,349.217,362.0385,3146.93,3160.98,43336.03,43719.29
legacy_25k,start_2022,3300,4100,0.03,0.225,True,376882.0,356023.8,376882.0,360523.8,5,3,44,44,360.0337,375.4824,3229.48,3228.52,44553.4,44653.43
legacy_25k,start_2022,3400,4200,0.416,0.704,True,372323.0,353957.65,372323.0,358457.65,5,3,45,44,360.3436,395.0518,3301.82,3315.55,45542.53,45863.13
legacy_25k,start_2022,3500,4300,0.692,0.909,True,370823.0,351657.65,372323.0,356157.65,5,3,45,44,372.6752,407.0059,3363.74,3387.02,46429.55,46851.76
legacy_25k,start_2022,3600,4400,0.642,0.094,True,371238.0,349357.65,374238.0,353857.65,7,3,45,44,401.5716,429.8163,3426.28,3448.26,47660.67,47705.64
legacy_25k,start_2022,3700,4500,0.578,0.692,True,365481.0,346680.25,366981.0,351180.25,5,4,44,44,407.8896,465.8185,3490.19,3510.37,48281.53,48615.61
legacy_25k,start_2022,3800,4500,1.615,1.531,True,364981.0,346680.25,366481.0,351180.25,5,4,44,44,421.7618,465.8185,3567.99,3510.37,49371.32,48615.61
legacy_25k,start_2022,3900,4500,3.603,3.697,True,360981.0,346680.25,362481.0,351180.25,5,4,44,44,424.569,465.8185,3641.59,3510.37,50482.08,48615.61
legacy_25k,start_2022,4000,5000,4.015,4.417,True,359929.0,336316.95,362929.0,340816.95,6,6,45,44,439.7515,520.8542,3683.09,3830.95,51238.23,53501.26
legacy_25k,start_2022,4100,5000,2.636,2.999,True,358929.0,336316.95,361929.0,340816.95,6,6,45,44,460.9237,520.8542,3732.57,3830.95,51943.42,53501.26
legacy_25k,start_2022,4200,5000,0.219,1.182,True,353797.0,336316.95,355297.0,340816.95,3,6,44,44,455.3343,520.8542,3822.56,3830.95,52876.03,53501.26
legacy_25k,start_2022,4300,5000,1.963,1.026,True,353297.0,336316.95,354797.0,340816.95,3,6,44,44,465.2752,520.8542,3907.64,3830.95,54055.76,53501.26
legacy_25k,start_2022,4400,5000,3.646,2.761,True,349797.0,336316.95,351297.0,340816.95,3,6,44,44,475.5192,520.8542,3975.91,3830.95,55020.56,53501.26
legacy_25k,start_2022,4500,5000,4.7,3.854,True,348797.0,336316.95,350297.0,340816.95,3,6,44,44,483.5847,520.8542,4019.87,3830.95,55645.62,53501.26
legacy_25k,start_2022,5000,5700,1.296,1.673,True,337153.0,323059.2,340153.0,327559.2,6,3,44,43,563.5492,551.8558,4325.62,4269.58,60420.71,59409.74
legacy_25k,start_2022,5700,6100,4.054,3.082,True,321028.0,333310.35,324028.0,457597.29,5,20,42,18,637.0986,540.6439,4708.31,4517.43,65892.78,67923.64
legacy_25k,start_2022,6000,6300,5.775,0.713,False,318554.0,329310.35,323054.0,457597.29,5,20,41,18,636.2355,544.9978,4918.29,4634.28,69186.91,69680.52
legacy_25k,start_2022,6100,6400,5.194,0.392,False,319554.0,327310.35,324054.0,457597.29,7,20,39,18,635.0135,554.3129,4960.11,4702.47,70429.72,70705.77
legacy_25k,start_2022,6200,6700,1.853,0.26,True,323719.0,321310.35,326719.0,457597.29,15,20,31,18,658.0068,564.0111,4996.13,4903.56,73538.37,73729.45
legacy_25k,start_2022,6300,6900,0.472,0.989,True,323917.0,317310.35,326917.0,457597.29,17,20,29,18,673.5298,570.3302,5033.8,5010.06,74593.17,75330.72
legacy_25k,start_2022,6400,7100,0.314,0.314,True,328412.0,313310.35,328412.0,457597.29,20,20,18,18,631.6261,585.6719,5125.06,5141.16,77059.78,77301.89
legacy_25k,start_2022,6500,7200,0.072,0.072,True,327412.0,311310.35,327412.0,457597.29,20,20,18,18,629.3621,590.5237,5199.74,5203.48,78182.73,78238.92
legacy_25k,start_2022,6600,7300,0.178,0.178,True,326412.0,309310.35,326412.0,457597.29,20,20,18,18,622.5162,594.8103,5255.33,5264.66,79018.56,79158.9
legacy_25k,start_2022,6700,7400,0.214,0.214,True,322412.0,307310.35,322412.0,457597.29,20,20,18,18,637.9031,603.4675,5315.58,5326.96,79924.4,80095.51
legacy_25k,start_2022,6800,7500,0.365,0.365,True,321912.0,305310.35,321912.0,457597.29,20,20,18,18,647.5446,603.9404,5362.66,5382.21,80632.3,80926.25
legacy_25k,start_2022,6900,7500,0.965,0.965,True,318412.0,305310.35,318412.0,457597.29,20,20,18,18,653.7021,603.9404,5434.63,5382.21,81714.55,80926.25
legacy_25k,start_2022,7000,7500,1.915,1.915,True,317412.0,305310.35,317412.0,457597.29,20,20,18,18,653.3495,603.9404,5487.29,5382.21,82506.22,80926.25
legacy_25k,start_2022,7100,8000,2.394,2.394,True,316412.0,295310.35,316412.0,457597.29,20,20,18,18,651.6027,626.0444,5543.32,5676.02,83348.71,85343.94
legacy_25k,start_2022,7200,8000,1.15,1.15,True,312412.0,295310.35,312412.0,457597.29,20,20,18,18,665.5136,626.0444,5611.51,5676.02,84374.05,85343.94
legacy_25k,start_2022,7300,8000,0.429,0.429,True,311912.0,295310.35,311912.0,457597.29,20,20,18,18,671.5774,626.0444,5651.79,5676.02,84979.69,85343.94
legacy_25k,start_2022,7400,8000,0.887,0.887,True,308412.0,295310.35,308412.0,457597.29,20,20,18,18,680.2635,626.0444,5726.83,5676.02,86107.93,85343.94
legacy_25k,start_2022,7500,8000,1.84,1.84,True,307412.0,295310.35,307412.0,457597.29,20,20,18,18,681.5581,626.0444,5782.42,5676.02,86943.77,85343.94
legacy_25k,start_2022,8000,9000,3.371,3.371,True,297412.0,275310.35,297412.0,457597.29,20,20,18,18,711.4602,666.1781,6045.63,6249.44,90901.49,93965.84
legacy_25k,start_2022,9000,10000,2.851,2.851,True,277412.0,255310.35,277412.0,457597.29,20,20,18,18,742.6989,709.7768,6597.4,6785.47,99197.84,102025.62
legacy_25k,start_2022,10000,10000,4.666,4.666,True,257412.0,255310.35,257412.0,457597.29,20,20,18,18,788.563,709.7768,7117.54,6785.47,107018.61,102025.62
legacy_25k,start_2023,0,2000,6.641,6.529,False,121731.0,170856.35,121731.0,170856.35,15,0,95,97,716.9032,579.6658,1629.84,1521.6,13644.09,14534.89
legacy_25k,start_2023,1000,2000,6.641,6.529,False,121731.0,170856.35,121731.0,170856.35,15,0,95,97,716.9032,579.6658,1629.84,1521.6,13644.09,14534.89
legacy_25k,start_2023,2000,3000,2.43,0.857,True,209369.0,210726.5,209369.0,222726.5,15,12,62,71,598.7481,299.4098,2096.83,2147.79,23363.59,23163.36
