product,initial_cash,monthly_funding,acquisition,spares,passes,withdrawal,cadence,headroom,reserve,fee,accounts,alive,spares_unused,supply_limited,ongoing,terminal,total,contributions,ending_owner_cash,execution,copies,signals_executed,signal_participation,allocation_sha256,objective,tested_count,tied_best,boundary_best
legacy_25k,1000,200,monthly_current_slot_replacements,5,2,minimum,calendar_month,1600,26700.0,200.0,86,20,0,832,293800.0,162278.71,456078.71,16600.0,472678.71,blocking,115032,9102,0.719070943276979,8db706d0a3eca086ad6b3e0c8744341b654027a94fde4d731fe95f605b9605c4,total,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,5,3,minimum,weekly,1900,27000.0,200.0,127,9,0,745,414600.0,0,414600.0,16600.0,431200.0,blocking,121843,9074,0.7168589034602623,ab57d8b245f205d0be8ec934e3d996b1c3e063624bc0f2882cce368f180daf1a,ongoing,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,5,3,minimum,calendar_month,2900,28000.0,200.0,75,20,0,639,271000.0,186265.09,457265.09,16600.0,473865.09,blocking,112521,9306,0.7351872333702006,43ab995f07b6ae53f389a2160de4638e225988bdf75b22f40b8608225758692b,total,90,2,False
legacy_25k,1000,200,monthly_current_slot_replacements,5,5,minimum,weekly,1800,26900.0,200.0,159,15,0,607,405700.0,0,405700.0,16600.0,422300.0,blocking,127425,9067,0.7163058935060831,cdf5081f0de3f2ce7ef2b11596678e027c363c6a92f086cbbc2404f640a7743e,ongoing,82,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,5,5,minimum,calendar_month,0,25100.0,200.0,163,20,0,536,319900.0,152162.55,472062.55,16600.0,488662.55,blocking,139129,9144,0.722389003002054,f39892295fe87b0b4b17c0f8e9c2b83937025ae1d683d0c86a476d0467228baa,total,82,7,True
legacy_25k,1000,200,monthly_current_slot_replacements,5,10,maximum,weekly,0,25100.0,200.0,391,20,0,391,467859.95,0,467859.95,16600.0,484459.95,blocking,139098,8779,0.6935534839627113,b2c2e18cc1094bf2633e84c8d440210ed5835bf82de8ccab261c0a6f293a961d,ongoing,82,2,True
legacy_25k,1000,200,monthly_current_slot_replacements,5,10,minimum,calendar_month,0,25100.0,200.0,175,20,0,165,358000.0,153443.8,511443.8,16600.0,528043.8,blocking,150398,9141,0.7221519987359772,3cc2522eb5c6450f0d03130a6773876ff0b99f9e8a43c0b8a402c2eda5436b9f,total,82,7,True
legacy_25k,1000,200,monthly_current_slot_replacements,10,1,maximum,weekly,4000,29100.0,200.0,75,3,0,1547,236717.35,3000.0,239717.35,16600.0,256317.35,blocking,79831,9207,0.7273660925896667,b85a31ded0bae859bd714003294b7778f00361e89b69089957b22d42de1f8f99,ongoing,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,10,1,minimum,calendar_month,3600,28700.0,200.0,75,19,0,1547,172000.0,144542.87,316542.87,16600.0,333142.87,blocking,87204,9253,0.731000158002844,b16b10d09128a3d302e021c597e01c9585a61847a344231c9a47e11eff8cd2df,total,90,2,False
legacy_25k,1000,200,monthly_current_slot_replacements,10,2,minimum,weekly,1900,27000.0,200.0,102,6,0,959,390100.0,0,390100.0,16600.0,406700.0,blocking,106351,9025,0.712987833781008,e3d5053c73a1821fe4c27f83ba19b4dd8f50851a6aa21904e19d1d7089bb4f6d,ongoing,90,1,False
