case,account_id,rr,activated_at,alive,died_at,death_trade_key,trades,balance,headroom,received,trade_keys_sha256
2020-01__daily_maximum,35,0.50,2022-11-01T00:00:00,False,2023-02-27T21:00:00,RR0.50:19-20:228:984,491,23585.5,16.7,0.0,c6cf3ac1f2a13e7df8da45e7d53ee9adaf372d017164055fc6c7870803b1a8dd
2020-01__daily_maximum,36,2.50,2022-12-01T00:00:00,False,2023-01-05T22:50:40,RR2.50:17-18:182:910,108,23946.15,57.9,0.0,971e534a2538aff3a26a0f7fe2ba8fa9bb4360ff76d47520880571c405e3113f
2020-01__daily_maximum,37,0.50,2023-01-01T00:00:00,False,2023-03-01T23:30:00,RR0.50:18-19:231:1001,236,24442.25,43.8,0.0,cc4561b3943971c912e1aaab17fed13a035117cff1c329890605f2783494f57e
2020-01__daily_maximum,38,2.50,2023-02-01T00:00:00,True,,,3955,31882.05,6782.05,24558.7,2dcedfc2a5f3609cf4ca7e2564ec219ffd080eab833f482f21632bc1656042b6
2020-01__daily_maximum,39,0.50,2023-03-01T00:00:00,False,2023-10-18T20:30:00,RR0.50:20-21:305:1152,1085,25101.8,1.8,0.0,fd49a37ab6884c92b1c742db9cc146d04695fa4bafb2b0de8e201fa33da23cda
2020-01__daily_maximum,40,2.50,2023-04-01T00:00:00,True,,,3783,31882.05,6782.05,22889.3,1da7ed22e0069ae58661a458837bfd9d77154a35b730f023ed5e2ac1f5a33c31
2020-01__daily_maximum,41,0.50,2023-05-01T00:00:00,False,2023-10-04T11:00:00,RR0.50:10-11:342:1280,753,23935.4,16.45,0.0,e05d36c096728d605e64b31d585e8ffdf770196f45df5317c8b560ba39b090c9
2020-01__daily_maximum,42,2.50,2023-06-01T00:00:00,True,,,3564,31882.05,6782.05,22697.25,7e638d58fb39eaee3f768bfd20afadc2f06bfa497a64c1f6e78c7da0ba04722e
2020-01__daily_maximum,43,0.50,2023-07-01T00:00:00,False,2023-10-04T11:00:00,RR0.50:10-11:342:1280,454,24356.85,16.45,0.0,975714141063d0b8f33ef2fe5ccd413b818c445a17a5568ff14621ec59e78075
2020-01__daily_maximum,44,2.50,2023-08-01T00:00:00,False,2023-10-24T03:17:40,RR2.50:2-3:362:1334,294,25039.85,9.05,0.0,e4a5d926874cc4a86dc153f792996229b1d70b96408d2bf59b5404eaee0b54dd
2020-01__daily_maximum,45,0.50,2023-09-01T00:00:00,False,2023-10-04T11:00:00,RR0.50:10-11:342:1280,164,23909.85,16.45,0.0,65d76bce6f82a04173572ca04b20322ff5f71e94c370ccb134e5ba67c8b64216
2020-01__daily_maximum,46,2.50,2023-10-01T00:00:00,False,2023-10-26T16:30:00,RR2.50:10-11:345:1298,92,23793.45,6.2,0.0,1e5d4433583aecc9118f836c3888afe0d0f044d2a479acc0c9eaeceb6d096f58
2020-01__daily_maximum,47,0.50,2023-11-01T00:00:00,True,,,4359,30247.25,5147.25,15307.8,32ae2ebab96076474baabc5ebbd56a1f4a8cb2e2b3c2bac6c719c91890f04630
2020-01__daily_maximum,48,2.50,2023-12-01T00:00:00,True,,,2962,31882.05,6782.05,21253.85,25b7397a2323b5728c83943de0eef587cf23c844c1fe83f2bad2d75c4ff43e89
2020-01__daily_maximum,49,0.50,2024-01-01T00:00:00,True,,,4094,30247.25,5147.25,14579.55,b8b52ea84ab0f9032e67b30bd3a2f42316cc091225db821b8e567da293f6c6ae
2020-01__daily_maximum,50,2.50,2024-02-01T00:00:00,True,,,2759,31882.05,6782.05,19827.0,3db71e26dab16576fa2528cf2132fb60d7f0f7bd222ff11840119d2a4727a977
2020-01__daily_maximum,51,0.50,2024-03-01T00:00:00,False,2024-04-18T21:33:40,RR0.50:21-22:378:1366,200,25164.05,90.25,0.0,069e0c725f4ce20d6aa407caa5f751704b7c5a3a5f2093d54a44a4cdac17ea26
2020-01__daily_maximum,52,2.50,2024-04-01T00:00:00,False,2024-04-18T20:24:40,RR2.50:17-18:255:1298,64,24360.85,171.8,0.0,06cbd04c25f7284812dbd7afcf335924d98515bdfcbfa9e8bc8cc9005004331a
2020-01__daily_maximum,53,0.50,2024-05-01T00:00:00,True,,,3564,30247.25,5147.25,13576.05,01a875c4577ee57d10efeaa59c0d8823b2209664e5979b32a02d3ff190ecae25
2020-01__daily_maximum,54,2.50,2024-06-01T00:00:00,False,2024-07-26T13:58:40,RR2.50:13-14:414:1560,177,25116.7,16.7,0.0,f28e1925ce4cd4f0292008005d754a9617c2f63953d13a251d5ed17d217800e7
2020-01__daily_maximum,55,0.50,2024-07-01T00:00:00,False,2024-07-25T16:57:40,RR0.50:11-12:334:1461,119,24014.6,103.8,0.0,fc7352f53885dca0cf08d89f25e08e9dda234534c9be5eb0a590d92193232442
2020-01__daily_maximum,56,2.50,2024-08-01T00:00:00,False,2024-08-08T08:38:40,RR2.50:8-9:453:1593,21,23604.0,26.55,0.0,e5675ad911bc4e095be69efc7fc711e62df417c4c0e8f543015471eb09ae0aaa
2020-01__daily_maximum,57,0.50,2024-09-01T00:00:00,True,,,3011,30247.25,5147.25,10248.7,cf28b196608b085c29d25fe27c747a468a71d20037efe04cee60f6b5418b0537
2020-01__daily_maximum,58,2.50,2024-10-01T00:00:00,True,,,2022,31882.05,6782.05,15105.85,c40a3d29aec52b7da57ed9a81fc82bcf0ce182905ec3ea876078baba12b2e8f7
2020-01__daily_maximum,59,0.50,2024-11-01T00:00:00,True,,,2730,30247.25,5147.25,8535.25,2989f128e6005eca8d9ca1ff2de96cda61f7ce5c5386120cf69fb9f9c7b00ae5
2020-01__daily_maximum,60,2.50,2024-12-01T00:00:00,True,,,1838,31882.05,6782.05,13439.55,5dd2657d3004e674c46f402d6b9d9e4040f08d3ab9403d383eb4395ba6630c4d
