product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,execution,copies,signals_executed,signal_participation,allocation_sha256,job,objective
legacy_50k,5000,200,minimum,calendar_month,100,50200.0,True,1,20,2,False,519815.28,346600.0,173215.28,68,20,68,70,160,6400.0,8500.0,14900.0,540415.28,20600.0,0,2,48,48,0,0.0417,32.35,125.02,2137.11,0,87.67,16.47,20,20,19,0,0,0,0,blocking,153167,8948,0.7069047242850371,a494e4323cd49387db9cc6b37120837de196115bd8eee1dd8cbc0f39796a4eb1,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 100, true, 1, 20, 2, false]",total
legacy_50k,5000,200,minimum,calendar_month,200,50300.0,True,1,20,2,False,519815.28,346600.0,173215.28,68,20,68,70,160,6400.0,8500.0,14900.0,540415.28,20600.0,0,2,48,48,0,0.0417,32.35,125.02,2137.11,0,87.67,16.47,20,20,19,0,0,0,0,blocking,153167,8948,0.7069047242850371,a494e4323cd49387db9cc6b37120837de196115bd8eee1dd8cbc0f39796a4eb1,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 200, true, 1, 20, 2, false]",total
legacy_50k,5000,200,minimum,calendar_month,300,50400.0,True,1,20,2,False,519815.28,346600.0,173215.28,68,20,68,70,160,6400.0,8500.0,14900.0,540415.28,20600.0,0,2,48,48,0,0.0417,32.35,125.02,2137.11,0,87.67,16.47,20,20,19,0,0,0,0,blocking,153167,8948,0.7069047242850371,a494e4323cd49387db9cc6b37120837de196115bd8eee1dd8cbc0f39796a4eb1,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 300, true, 1, 20, 2, false]",total
legacy_50k,5000,200,minimum,calendar_month,400,50500.0,True,1,20,2,False,519815.28,346600.0,173215.28,68,20,68,70,160,6400.0,8500.0,14900.0,540415.28,20600.0,0,2,48,48,0,0.0417,32.35,125.02,2137.11,0,87.67,16.47,20,20,19,0,0,0,0,blocking,153167,8948,0.7069047242850371,a494e4323cd49387db9cc6b37120837de196115bd8eee1dd8cbc0f39796a4eb1,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 400, true, 1, 20, 2, false]",total
legacy_50k,5000,200,minimum,weekly,0,50100.0,False,1,20,10,False,469960.0,469960.0,0,116,20,116,128,301,12040.0,14500.0,26540.0,490560.0,20600.0,0,10,96,96,0,0.3229,20.49,59.16,1959.7,0,100.67,15.95,20,20,26,0,0,0,0,blocking,148491,8920,0.7046926844683205,4b1d3545209af8b1fc752481c1ccf44e269056bf94d874e4c8b5cb2f1bbd8613,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 0, false, 1, 20, 10, false]",ongoing
legacy_50k,5000,200,minimum,weekly,500,50600.0,False,1,20,10,False,469960.0,469960.0,0,116,20,116,128,301,12040.0,14500.0,26540.0,490560.0,20600.0,0,10,96,96,0,0.3229,20.49,59.16,1959.7,0,100.67,15.95,20,20,26,0,0,0,0,blocking,148491,8920,0.7046926844683205,4b1d3545209af8b1fc752481c1ccf44e269056bf94d874e4c8b5cb2f1bbd8613,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 500, false, 1, 20, 10, false]",ongoing
legacy_50k,5000,200,minimum,weekly,1000,51100.0,False,1,20,10,False,469960.0,469960.0,0,116,20,116,128,301,12040.0,14500.0,26540.0,490560.0,20600.0,0,10,96,96,0,0.3229,20.49,59.16,1959.7,0,100.67,15.95,20,20,26,0,0,0,0,blocking,148491,8920,0.7046926844683205,4b1d3545209af8b1fc752481c1ccf44e269056bf94d874e4c8b5cb2f1bbd8613,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 1000, false, 1, 20, 10, false]",ongoing
legacy_50k,5000,200,minimum,weekly,2000,52100.0,False,1,20,10,False,469960.0,469960.0,0,116,20,116,128,301,12040.0,14500.0,26540.0,490560.0,20600.0,0,10,96,96,0,0.3229,20.49,59.16,1959.7,0,100.67,15.95,20,20,26,0,0,0,0,blocking,148491,8920,0.7046926844683205,4b1d3545209af8b1fc752481c1ccf44e269056bf94d874e4c8b5cb2f1bbd8613,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 2000, false, 1, 20, 10, false]",ongoing
legacy_50k,5000,200,minimum,weekly,100,50200.0,False,1,20,10,False,469960.0,469960.0,0,116,20,116,128,301,12040.0,14500.0,26540.0,490560.0,20600.0,0,10,96,96,0,0.3229,20.49,59.16,1959.7,0,100.67,15.95,20,20,26,0,0,0,0,blocking,148491,8920,0.7046926844683205,4b1d3545209af8b1fc752481c1ccf44e269056bf94d874e4c8b5cb2f1bbd8613,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 100, false, 1, 20, 10, false]",ongoing
legacy_50k,5000,200,minimum,weekly,200,50300.0,False,1,20,10,False,469960.0,469960.0,0,116,20,116,128,301,12040.0,14500.0,26540.0,490560.0,20600.0,0,10,96,96,0,0.3229,20.49,59.16,1959.7,0,100.67,15.95,20,20,26,0,0,0,0,blocking,148491,8920,0.7046926844683205,4b1d3545209af8b1fc752481c1ccf44e269056bf94d874e4c8b5cb2f1bbd8613,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 200, false, 1, 20, 10, false]",ongoing
legacy_50k,5000,200,minimum,weekly,300,50400.0,False,1,20,10,False,469960.0,469960.0,0,116,20,116,128,301,12040.0,14500.0,26540.0,490560.0,20600.0,0,10,96,96,0,0.3229,20.49,59.16,1959.7,0,100.67,15.95,20,20,26,0,0,0,0,blocking,148491,8920,0.7046926844683205,4b1d3545209af8b1fc752481c1ccf44e269056bf94d874e4c8b5cb2f1bbd8613,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 300, false, 1, 20, 10, false]",ongoing
legacy_50k,5000,200,minimum,weekly,400,50500.0,False,1,20,10,False,469960.0,469960.0,0,116,20,116,128,301,12040.0,14500.0,26540.0,490560.0,20600.0,0,10,96,96,0,0.3229,20.49,59.16,1959.7,0,100.67,15.95,20,20,26,0,0,0,0,blocking,148491,8920,0.7046926844683205,4b1d3545209af8b1fc752481c1ccf44e269056bf94d874e4c8b5cb2f1bbd8613,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 400, false, 1, 20, 10, false]",ongoing
