accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,case,start_year,initial_cash_usd,monthly_contribution_usd,purchase_policy,withdrawal,reference_copies,demand_sha256,arm,emergency_seats,extra_purchase_cost_usd,additional_external_funding_usd,delta_ongoing_usd,delta_total_usd,previous_accounts,previous_total_net_usd,delta_vs_previous_routed_usd,procurement,shortfall_seats
115,80,35,95,True,123358,23000.0,211000.0,203401.57,414401.57,2023_5000_0_weekly_one_minimum_calendar_month_30000,2023,5000,0,weekly_one,minimum_calendar_month_30000,123358,21f06f3337a7f448b8f2c9fe2414c75d1dd2f347e99cb832b1c46f229a55d0a4,max_headroom,115,15000.0,14000.0,-20000.0,-8250.34,200,384915.8,29485.77,reuse,115
129,63,66,95,True,123358,25800.0,121200.0,98075.71,219275.71,2023_5000_0_weekly_one_minimum_calendar_month_30000,2023,5000,0,weekly_one,minimum_calendar_month_30000,123358,21f06f3337a7f448b8f2c9fe2414c75d1dd2f347e99cb832b1c46f229a55d0a4,round_robin,129,17800.0,15100.0,-109800.0,-203376.2,200,143799.24,75476.47,reuse,129
43,14,29,16,False,66129,8600.0,151400.0,62902.29,214302.29,2023_5000_200_monthly_one_minimum_daily_31900,2023,5000,200,monthly_one,minimum_daily_31900,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,reference,0,0,0,0,0,43,214302.29,0.0,,
117,42,75,64,True,66129,23400.0,137600.0,1500.0,139100.0,2023_5000_200_monthly_one_minimum_daily_31900,2023,5000,200,monthly_one,minimum_daily_31900,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,max_headroom,117,14800.0,400.0,-13800.0,-75202.29,215,106500.0,32600.0,reuse,117
144,47,97,64,True,66129,28800.0,68200.0,61497.74,129697.74,2023_5000_200_monthly_one_minimum_daily_31900,2023,5000,200,monthly_one,minimum_daily_31900,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,round_robin,144,20200.0,6700.0,-83200.0,-84604.55,215,33573.2,96124.54,reuse,144
43,14,29,16,False,66129,8600.0,157479.65,53581.55,211061.2,2023_5000_200_monthly_one_maximum_weekly_31600,2023,5000,200,monthly_one,maximum_weekly_31600,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,reference,0,0,0,0,0,43,211061.2,0.0,,
117,42,75,64,True,66129,23400.0,151582.1,48906.32,200488.42,2023_5000_200_monthly_one_maximum_weekly_31600,2023,5000,200,monthly_one,maximum_weekly_31600,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,max_headroom,117,14800.0,400.0,-5897.55,-10572.78,215,166605.43,33882.99,reuse,117
144,48,96,64,True,66129,28800.0,85900.45,78710.76,164611.21,2023_5000_200_monthly_one_maximum_weekly_31600,2023,5000,200,monthly_one,maximum_weekly_31600,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,round_robin,144,20200.0,5047.95,-71579.2,-46449.99,215,33573.2,131038.01,reuse,144
43,14,29,16,False,66129,8600.0,110400.0,103902.29,214302.29,2023_5000_200_monthly_one_minimum_calendar_month_30000,2023,5000,200,monthly_one,minimum_calendar_month_30000,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,reference,0,0,0,0,0,43,214302.29,0.0,,
117,42,75,64,True,66129,23400.0,102100.0,117435.63,219535.63,2023_5000_200_monthly_one_minimum_calendar_month_30000,2023,5000,200,monthly_one,minimum_calendar_month_30000,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,max_headroom,117,14800.0,400.0,-8300.0,5233.34,215,188665.72,30869.91,reuse,117
