cohort,kind,start,portfolio,lower_rr,higher_rr,lower_weight,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change,mdd_delta_vs_rr1,pnl_delta_vs_rr1,beats_both_constituents,smoothing
12m_2020-01-01,12m,2020-01-01,pair_1.00_3.50_low75,1.00,3.50,0.75,2575.9625,2204.8250000000003,2020-03-19,61,88,True,15,-942.3000000000001,-1381.15,-2204.8250000000003,-84.77499999999964,435.2125000000001,True,236.71249999999964
12m_2020-04-01,12m,2020-04-01,rr_0.50,0.50,,1.0,834.15,2462.25,2021-03-08,103,147,True,13,-676.0,-840.75,-930.2999999999997,-311.5,-1281.6,False,0.0
12m_2020-04-01,12m,2020-04-01,rr_0.75,0.75,,1.0,1376.05,2815.0,2021-03-08,103,147,True,18,-888.5,-925.6,-1326.5,41.25,-739.7,False,0.0
12m_2020-04-01,12m,2020-04-01,rr_1.00,1.00,,1.0,2115.75,2773.75,2021-03-08,58,82,True,17,-1017.5,-1083.6000000000001,-1744.3500000000001,0.0,0.0,False,0.0
12m_2020-04-01,12m,2020-04-01,rr_1.25,1.25,,1.0,3693.95,2312.2500000000005,2021-03-08,58,82,True,20,-1017.5,-1024.1,-1418.65,-461.49999999999955,1578.1999999999998,False,0.0
12m_2020-04-01,12m,2020-04-01,rr_1.50,1.50,,1.0,4651.0,1511.65,2020-06-26,56,78,True,18,-982.5,-766.3499999999999,-1274.6999999999998,-1262.1,2535.25,False,0.0
12m_2020-04-01,12m,2020-04-01,rr_1.75,1.75,,1.0,5667.8,2030.4500000000003,2020-06-26,77,107,True,19,-668.3999999999996,-778.6500000000001,-1741.5,-743.2999999999997,3552.05,False,0.0
12m_2020-04-01,12m,2020-04-01,rr_2.00,2.00,,1.0,7135.45,1846.9499999999998,2020-06-26,61,85,True,21,-668.4000000000005,-987.5499999999997,-1706.0,-926.8000000000002,5019.7,False,0.0
12m_2020-04-01,12m,2020-04-01,rr_2.25,2.25,,1.0,7047.75,1673.5,2020-06-26,52,72,True,20,-698.8000000000002,-981.0500000000002,-1502.1000000000001,-1100.25,4932.0,False,0.0
12m_2020-04-01,12m,2020-04-01,rr_2.50,2.50,,1.0,6244.9,1406.6000000000001,2020-06-26,44,64,True,20,-698.7999999999993,-976.4000000000005,-1268.0,-1367.1499999999999,4129.15,False,0.0
