product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,job,objective
legacy_50k,5000,200,minimum,calendar_month,2800,52900.0,True,0,20,10,True,644762.9,461445.0,183317.9,39,20,39,39,142,5680.0,4875.0,10555.0,665362.9,20600.0,0,0,19,19,0,0.4211,93.24,189.2,1281.61,0,60.67,16.8,16,16,16,0,0,0,0,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]",total
legacy_50k,5000,200,minimum,daily,3700,53800.0,True,1,20,2,True,582835.0,582835.0,0,69,12,69,78,161,6440.0,8625.0,15065.0,603435.0,20600.0,0,8,57,49,8,0.0175,35.49,121.35,2221.63,38.01,73.67,16.24,20,20,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 3700, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,maximum,daily,7200,57300.0,False,7,2,5,False,511853.35,399189.02,112664.33,44,20,44,49,133,5320.0,5500.0,10820.0,532453.35,20600.0,0,5,24,24,0,0.125,49.12,159.22,1594.68,0,89.67,12.4,2,5,4,0,0,0,0,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 7200, false, 7, 2, 5, false]",total
legacy_50k,5000,200,maximum,weekly,5000,55100.0,False,7,2,5,False,431080.38,431080.38,0,51,6,51,53,143,5720.0,6375.0,12095.0,451680.38,20600.0,0,2,45,31,14,0.1778,44.31,159.22,3210.63,115.06,89.67,11.73,2,5,4,0,0,0,0,"[""legacy_50k"", 5000, 200, ""maximum"", ""weekly"", 5000, false, 7, 2, 5, false]",ongoing
legacy_50k,5000,200,minimum,daily,8800,58900.0,False,1,5,10,False,619817.81,486390.0,133427.81,44,20,44,56,154,6160.0,5500.0,11660.0,640417.81,20600.0,0,10,24,24,0,0.625,0.45,93.24,471.95,0,89.67,15.63,5,10,5,3,2,19,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 8800, false, 1, 5, 10, false]",total
legacy_50k,5000,200,minimum,daily,4000,54100.0,False,1,5,10,False,554290.0,554290.0,0,64,7,64,69,184,7360.0,8000.0,15360.0,574890.0,20600.0,0,5,57,44,13,0.4912,0.65,93.24,2089.93,119.33,89.67,14.96,5,10,7,0,0,0,0,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 4000, false, 1, 5, 10, false]",ongoing
legacy_50k,5000,200,minimum,calendar_month,2800,52900.0,True,1,10,2,False,641199.89,456140.0,185059.89,44,20,44,46,109,4360.0,5500.0,9860.0,661799.89,20600.0,0,2,24,24,0,0.125,35.49,126.35,1134.7,0,60.67,16.6,10,10,10,0,0,0,0,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 1, 10, 2, false]",total
legacy_50k,5000,200,minimum,daily,2600,52700.0,True,0,10,10,False,575090.0,575090.0,0,118,20,118,128,279,11160.0,14750.0,25910.0,595690.0,20600.0,0,10,98,98,0,0.5408,0.86,94.24,2845.3,0,108.67,16.07,10,10,30,0,0,0,0,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 2600, true, 0, 10, 10, false]",ongoing
legacy_50k,5000,200,maximum,daily,6800,56900.0,True,1,20,2,False,643101.61,544216.01,98885.6,42,20,42,45,99,3960.0,5250.0,9210.0,663701.61,20600.0,0,2,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.82,18,18,15,40,0,31,51,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 6800, true, 1, 20, 2, false]",total
legacy_50k,5000,200,minimum,daily,3700,53800.0,True,1,20,2,False,585745.0,585745.0,0,71,12,71,82,172,6880.0,8875.0,15755.0,606345.0,20600.0,0,10,59,51,8,0.0847,35.49,121.35,2190.69,38.01,73.67,16.25,20,20,15,40,0,31,51,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 3700, true, 1, 20, 2, false]",ongoing
