account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
124,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
125,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
126,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
127,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
128,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
129,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
130,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
131,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
132,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
133,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
134,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
135,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
136,2024-07,2024-07-25 00:00:00,False,2025-03-07 20:30:00,intratrade_excursion,88.1,RR1.00:19-20:403:1641,225,856,379,476,7148.0,897.75,4,25,2,5935.15,5935.15,0,0.0,0.0,2024-09-30 00:00:00,315.1,,3886.85,-1060.35,3928.4,100.0,
137,2025-03,2025-03-08 00:00:00,False,2025-04-04 21:36:40,intratrade_excursion,-1714.35,RR1.00:20-21:415:1581,27,108,40,67,-1221.5,112.35,0,0,0,0.0,0.0,0,0.0,0.0,,-1333.85,,748.1,-1714.35,991.25,-1508.75,
138,2025-03,2025-03-08 00:00:00,False,2025-04-04 21:36:40,intratrade_excursion,-1714.35,RR1.00:20-21:415:1581,27,108,40,67,-1221.5,112.35,0,0,0,0.0,0.0,0,0.0,0.0,,-1333.85,,748.1,-1714.35,991.25,-1508.75,
139,2025-03,2025-03-08 00:00:00,False,2025-04-04 21:36:40,intratrade_excursion,-1714.35,RR1.00:20-21:415:1581,27,108,40,67,-1221.5,112.35,0,0,0,0.0,0.0,0,0.0,0.0,,-1333.85,,748.1,-1714.35,991.25,-1508.75,
140,2025-03,2025-03-08 00:00:00,False,2025-04-04 21:36:40,intratrade_excursion,-1714.35,RR1.00:20-21:415:1581,27,108,40,67,-1221.5,112.35,0,0,0,0.0,0.0,0,0.0,0.0,,-1333.85,,748.1,-1714.35,991.25,-1508.75,
141,2025-03,2025-03-08 00:00:00,False,2025-04-04 21:36:40,intratrade_excursion,-1714.35,RR1.00:20-21:415:1581,27,108,40,67,-1221.5,112.35,0,0,0,0.0,0.0,0,0.0,0.0,,-1333.85,,748.1,-1714.35,991.25,-1508.75,
142,2025-03,2025-03-08 00:00:00,False,2025-04-04 21:36:40,intratrade_excursion,-1714.35,RR1.00:20-21:415:1581,27,108,40,67,-1221.5,112.35,0,0,0,0.0,0.0,0,0.0,0.0,,-1333.85,,748.1,-1714.35,991.25,-1508.75,
143,2025-03,2025-03-08 00:00:00,False,2025-04-04 21:36:40,intratrade_excursion,-1714.35,RR1.00:20-21:415:1581,27,108,40,67,-1221.5,112.35,0,0,0,0.0,0.0,0,0.0,0.0,,-1333.85,,748.1,-1714.35,991.25,-1508.75,
