months,budget,left,right,eligible,left_failed,right_failed,both,left_only,right_only,neither,failed_window_jaccard,right_given_left,left_given_right,continuous_deep_dd_jaccard,both_cases,left_only_cases,right_only_cases
1,1500,1.50,1.75,78,14,13,11,3,2,62,0.6875,0.7857142857142857,0.8461538461538461,0.6438053097345132,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2023-10-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2021-12-01;1m_2024-08-01,1m_2020-06-01;1m_2025-11-01
1,1500,1.50,2.00,78,14,13,12,2,1,63,0.8,0.8571428571428571,0.9230769230769231,0.5503731343283582,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2023-10-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2021-12-01,1m_2020-06-01
1,1500,1.50,2.25,78,14,12,11,3,1,63,0.7333333333333333,0.7857142857142857,0.9166666666666666,0.5670731707317073,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2021-12-01;1m_2023-10-01,1m_2020-06-01
1,1500,1.50,2.50,78,14,13,11,3,2,62,0.6875,0.7857142857142857,0.8461538461538461,0.5452674897119342,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2021-12-01;1m_2023-10-01,1m_2022-01-01;1m_2025-11-01
1,1500,1.50,2.75,78,14,15,12,2,3,61,0.7058823529411765,0.8571428571428571,0.8,0.5682730923694779,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2023-10-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2021-12-01,1m_2021-09-01;1m_2022-01-01;1m_2025-11-01
1,1500,1.50,3.00,78,14,14,12,2,2,62,0.75,0.8571428571428571,0.8571428571428571,0.5354330708661418,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2023-10-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2021-12-01,1m_2021-09-01;1m_2025-11-01
1,1500,1.50,3.25,78,14,12,11,3,1,63,0.7333333333333333,0.7857142857142857,0.9166666666666666,0.5353319057815846,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2021-12-01;1m_2022-11-01,1m_2022-01-01
1,1500,1.50,3.50,78,14,14,12,2,2,62,0.75,0.8571428571428571,0.8571428571428571,0.6485260770975056,1m_2021-12-01;1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01;1m_2022-11-01,1m_2022-01-01;1m_2025-11-01
1,1500,1.50,1000,70,12,18,11,1,7,51,0.5789473684210527,0.9166666666666666,0.6111111111111112,0.40387722132471726,1m_2021-12-01;1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2024-07-01,1m_2020-10-01;1m_2021-09-01;1m_2022-01-01;1m_2022-04-01;1m_2022-09-01;1m_2023-08-01;1m_2024-09-01
1,1500,1.75,2.00,78,13,13,12,1,1,64,0.8571428571428571,0.9230769230769231,0.9230769230769231,0.6960600375234521,1m_2020-06-01;1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2023-10-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2025-11-01,1m_2024-08-01
1,1500,1.75,2.25,78,13,12,11,2,1,64,0.7857142857142857,0.8461538461538461,0.9166666666666666,0.6779324055666004,1m_2020-06-01;1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2023-10-01;1m_2025-11-01,1m_2024-08-01
1,1500,1.75,2.50,78,13,13,11,2,2,63,0.7333333333333333,0.8461538461538461,0.8461538461538461,0.6546184738955824,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-06-01;1m_2023-10-01,1m_2022-01-01;1m_2024-08-01
1,1500,1.75,2.75,78,13,15,12,1,3,62,0.75,0.9230769230769231,0.8,0.6113207547169811,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2023-10-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-06-01,1m_2021-09-01;1m_2022-01-01;1m_2024-08-01
1,1500,1.75,3.00,78,13,14,12,1,2,63,0.8,0.9230769230769231,0.8571428571428571,0.5232142857142857,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2022-11-01;1m_2023-10-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-06-01,1m_2021-09-01;1m_2024-08-01
1,1500,1.75,3.25,78,13,12,10,3,2,63,0.6666666666666666,0.7692307692307693,0.8333333333333334,0.4575645756457565,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-06-01;1m_2022-11-01;1m_2025-11-01,1m_2022-01-01;1m_2024-08-01
1,1500,1.75,3.50,78,13,14,11,2,3,62,0.6875,0.8461538461538461,0.7857142857142857,0.5655577299412916,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-06-01;1m_2022-11-01,1m_2021-12-01;1m_2022-01-01;1m_2024-08-01
1,1500,1.75,1000,70,11,18,9,2,9,50,0.45,0.8181818181818182,0.5,0.4337899543378995,1m_2022-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-06-01;1m_2024-07-01,1m_2020-10-01;1m_2021-09-01;1m_2021-12-01;1m_2022-01-01;1m_2022-04-01;1m_2022-09-01;1m_2023-08-01;1m_2024-08-01;1m_2024-09-01
