case,portfolio,start_year,permutation,assignment_order,accounts,deaths,alive,net_operating_cash,receipts,acquisition_costs,retained_equity,copies,mean_daily_alive,book_wipeouts,days_empty_after_first_activation,continuous_after_activation,first_activation,prior_ledger_reproduced,tape_first_entry,tape_last_exit
rr_triple__2023__p01,rr_triple,2023,1,RR:0.50;RR:2.50;RR:1.00,38,19,19,207709.0,215000.0,7291.0,147715.7,61057,12.34108527131783,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
rr_triple__2023__p02,rr_triple,2023,2,RR:0.50;RR:1.00;RR:2.50,39,19,20,210216.0,217500.0,7284.0,151847.45,61970,12.429457364341085,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
rr_triple__2023__p03,rr_triple,2023,3,RR:2.50;RR:0.50;RR:1.00,36,17,19,213492.0,220500.0,7008.0,147982.15,59898,12.17674418604651,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
rr_triple__2023__p04,rr_triple,2023,4,RR:2.50;RR:1.00;RR:0.50,38,19,19,197011.0,204500.0,7489.0,143854.75,57751,11.790697674418604,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
rr_triple__2023__p05,rr_triple,2023,5,RR:1.00;RR:0.50;RR:2.50,39,19,20,207183.0,214500.0,7317.0,151511.5,61775,12.414728682170542,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
rr_triple__2023__p06,rr_triple,2023,6,RR:1.00;RR:2.50;RR:0.50,40,20,20,217091.0,224500.0,7409.0,153842.65,61186,12.45813953488372,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
rr_triple__2024__p01,rr_triple,2024,1,RR:0.50;RR:2.50;RR:1.00,43,25,18,107485.0,115500.0,8015.0,119883.15,37679,10.587027027027027,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2024__p02,rr_triple,2024,2,RR:0.50;RR:1.00;RR:2.50,34,17,17,103643.0,110500.0,6857.0,115759.95,34972,9.745945945945946,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2024__p03,rr_triple,2024,3,RR:2.50;RR:0.50;RR:1.00,37,19,18,115301.0,122500.0,7199.0,124766.95,36882,10.477837837837837,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
rr_triple__2024__p04,rr_triple,2024,4,RR:2.50;RR:1.00;RR:0.50,34,17,17,117676.0,124500.0,6824.0,121235.9,36427,10.397837837837837,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
