case,portfolio,members,groups,failed_groups,failed_fraction,full_loss,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change
3m_2024-04-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,2471.333333333333,1072.7333333333333,2024-04-18,25,35,False,8,-434.1833333333333,-1063.6166666666668,-631.75
3m_2024-07-01,RR:0.50,RR:0.50,1,1,1.0,True,2226.1,2082.6,2024-08-02,24,34,False,9,-534.25,-1543.7,-1899.6499999999999
3m_2024-07-01,RR:1.00,RR:1.00,1,0,0.0,False,3151.1,2076.25,2024-08-07,25,35,True,8,-580.8000000000002,-1601.65,-1723.05
3m_2024-07-01,RR:2.50,RR:2.50,1,1,1.0,True,-160.0,3352.8,2024-08-07,58,82,True,2,-681.6500000000001,-1563.7,-3352.8
3m_2024-07-01,GG:1.25,GG:1.25,1,1,1.0,True,2871.9,3632.3,2024-08-02,26,36,True,6,-1110.8500000000001,-1912.6000000000001,-3500.05
3m_2024-07-01,rr_pair,RR:0.50;RR:2.50,2,2,1.0,True,1033.05,2448.0499999999997,2024-08-02,43,61,True,6,-534.2500000000001,-1490.25,-2371.075
3m_2024-07-01,cross_pair,RR:0.50;GG:1.25,2,2,1.0,True,2549.0,2823.775,2024-08-02,24,34,True,8,-810.5500000000001,-1494.675,-2699.8500000000004
3m_2024-07-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,2,0.6666666666666666,False,1739.0666666666666,2287.7666666666664,2024-08-02,28,40,True,8,-542.2499999999999,-1505.3666666666666,-2155.0666666666666
3m_2024-07-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,2,0.6666666666666666,False,2749.7,2538.25,2024-08-02,24,34,True,6,-726.45,-1530.3333333333335,-2316.883333333333
3m_2024-10-01,RR:0.50,RR:0.50,1,0,0.0,False,1717.05,848.55,2024-11-01,17,25,True,7,-395.85,-579.9000000000001,-699.25
