product,initial_cash,monthly_funding,acquisition,spares,passes,withdrawal,cadence,headroom,reserve,fee,accounts,alive,spares_unused,supply_limited,ongoing,terminal,total,contributions,ending_owner_cash,objective,tested_count,tied_best,boundary_best
legacy_25k,5000,200,monthly_current_slot_replacements,0,5,minimum,calendar_month,2600,27700.0,200.0,92,20,0,194,422600.0,186867.54,609467.54,20600.0,630067.54,total,98,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,0,10,minimum,weekly,0,25100.0,200.0,233,20,0,306,604400.0,0,604400.0,20600.0,625000.0,ongoing,82,7,True
legacy_25k,5000,200,monthly_current_slot_replacements,0,10,minimum,calendar_month,2800,27900.0,200.0,73,20,0,22,465450.0,184571.7,650021.7,20600.0,670621.7,total,82,5,False
legacy_25k,5000,200,monthly_current_slot_replacements,5,1,minimum,daily,4100,29200.0,200.0,66,2,0,1207,391100.0,0,391100.0,20600.0,411700.0,ongoing,90,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,5,1,minimum,weekly,6100,31200.0,200.0,60,20,0,1088,360650.0,103661.75,464311.75,20600.0,484911.75,total,90,11,False
legacy_25k,5000,200,monthly_current_slot_replacements,5,2,minimum,daily,4000,29100.0,200.0,85,4,0,568,527100.0,0,527100.0,20600.0,547700.0,ongoing,90,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,5,2,minimum,calendar_month,3300,28400.0,200.0,75,20,0,445,396500.0,197540.82,594040.82,20600.0,614640.82,total,90,2,False
legacy_25k,5000,200,monthly_current_slot_replacements,5,3,minimum,daily,3600,28700.0,200.0,109,6,0,567,523650.0,0,523650.0,20600.0,544250.0,ongoing,82,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,5,3,minimum,calendar_month,2600,27700.0,200.0,91,20,0,327,420800.0,187291.66,608091.66,20600.0,628691.66,total,82,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,5,5,minimum,daily,3600,28700.0,200.0,102,10,0,182,586900.0,0,586900.0,20600.0,607500.0,ongoing,90,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,5,5,minimum,calendar_month,2800,27900.0,200.0,75,20,0,53,462550.0,183993.61,646543.61,20600.0,667143.61,total,90,7,False
legacy_25k,5000,200,monthly_current_slot_replacements,5,10,minimum,weekly,0,25100.0,200.0,234,20,0,266,609200.0,0,609200.0,20600.0,629800.0,ongoing,94,7,True
legacy_25k,5000,200,monthly_current_slot_replacements,5,10,minimum,calendar_month,2800,27900.0,200.0,73,20,0,9,466450.0,184539.62,650989.62,20600.0,671589.62,total,94,2,False
legacy_25k,5000,200,monthly_current_slot_replacements,10,1,minimum,daily,4100,29200.0,200.0,66,2,0,1207,391100.0,0,391100.0,20600.0,411700.0,ongoing,90,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,10,1,minimum,weekly,6100,31200.0,200.0,60,20,0,1088,360650.0,103661.75,464311.75,20600.0,484911.75,total,90,11,False
legacy_25k,5000,200,monthly_current_slot_replacements,10,2,minimum,daily,4000,29100.0,200.0,85,4,0,568,527100.0,0,527100.0,20600.0,547700.0,ongoing,90,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,10,2,minimum,calendar_month,3300,28400.0,200.0,75,20,0,445,396500.0,197540.82,594040.82,20600.0,614640.82,total,90,2,False
legacy_25k,5000,200,monthly_current_slot_replacements,10,3,minimum,daily,4000,29100.0,200.0,102,6,0,494,517600.0,0,517600.0,20600.0,538200.0,ongoing,82,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,10,3,minimum,calendar_month,2600,27700.0,200.0,96,20,0,349,412300.0,187799.02,600099.02,20600.0,620699.02,total,82,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,10,5,minimum,daily,3600,28700.0,200.0,102,10,0,182,586900.0,0,586900.0,20600.0,607500.0,ongoing,90,1,False
legacy_25k,5000,200,monthly_current_slot_replacements,10,5,minimum,calendar_month,2800,27900.0,200.0,75,20,0,53,462550.0,183993.61,646543.61,20600.0,667143.61,total,90,7,False
legacy_25k,5000,200,monthly_current_slot_replacements,10,10,minimum,weekly,0,25100.0,200.0,234,20,0,266,609200.0,0,609200.0,20600.0,629800.0,ongoing,94,7,True
legacy_25k,5000,200,monthly_current_slot_replacements,10,10,minimum,calendar_month,2800,27900.0,200.0,73,20,0,9,466450.0,184539.62,650989.62,20600.0,671589.62,total,94,2,False
legacy_25k,5000,200,monthly_one,0,1,minimum,daily,4100,29200.0,200.0,69,2,0,0,387000.0,0,387000.0,20600.0,407600.0,ongoing,90,1,False
legacy_25k,5000,200,monthly_one,0,1,minimum,weekly,6100,31200.0,200.0,60,20,0,0,360650.0,103661.75,464311.75,20600.0,484911.75,total,90,11,False
