initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,spares,passes,total_25k,total_50k,total_delta_50k_minus_25k,accounts_25k,accounts_50k
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,0,2,351298.34,380843.59,29545.25,69,55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,0,3,-1000.0,414601.68,415601.68,5,56
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,0,5,-1000.0,431694.6,432694.6,5,65
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,0,10,-1000.0,439605.38,440605.38,5,59
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,5,1,211190.67,291749.47,80558.8,59,52
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,5,2,-1000.0,409938.0,410938.0,5,53
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,5,3,-1000.0,433526.62,434526.62,5,55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,5,5,-1000.0,438355.38,439355.38,5,64
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,5,10,-1000.0,439605.38,440605.38,5,59
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,10,1,211190.67,291749.47,80558.8,59,52
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,10,2,-1000.0,409938.0,410938.0,5,53
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,10,3,-1000.0,433526.62,434526.62,5,55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,10,5,-1000.0,438355.38,439355.38,5,64
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,10,10,-1000.0,439605.38,440605.38,5,59
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,0,1,231549.77,318673.02,87123.25,58,42
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,0,2,345035.44,388252.33,43216.89,64,48
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,0,3,-1000.0,394936.55,395936.55,5,54
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,0,5,-1000.0,399371.16,400371.16,5,66
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,0,10,-1000.0,421797.16,422797.16,5,61
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,5,1,231549.77,318673.02,87123.25,58,42
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,5,2,-1000.0,391464.28,392464.28,5,49
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,5,3,-1000.0,396665.08,397665.08,5,56
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,5,5,-1000.0,405325.91,406325.91,5,66
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,5,10,-1000.0,421797.16,422797.16,5,61
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,10,1,231549.77,318673.02,87123.25,58,42
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,10,2,-1000.0,391464.28,392464.28,5,49
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,10,3,-1000.0,396665.08,397665.08,5,56
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,10,5,-1000.0,405325.91,406325.91,5,66
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,10,10,-1000.0,421797.16,422797.16,5,61
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,0,1,298261.47,410770.78,112509.31,58,37
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,0,2,391864.85,439182.07,47317.22,56,39
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,0,3,-1000.0,435871.19,436871.19,5,40
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,0,5,-1000.0,432473.75,433473.75,5,44
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,0,10,-1000.0,439138.45,440138.45,5,43
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,5,1,298261.47,410770.78,112509.31,58,37
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,5,2,-1000.0,461862.57,462862.57,5,37
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,5,3,-1000.0,449941.44,450941.44,5,39
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,5,5,-1000.0,439138.45,440138.45,5,43
