arm,strategy,risk_reward,survived_targets,survived_cases,worst_target_headroom_usd,failed_quarters_of_26,common_failures_remaining,failed_cases
GG:1.16,GG,1.16,0,,-3632.95,,,
GG:1.17,GG,1.17,0,,-3266.85,,,
GG:1.18,GG,1.18,0,,-3098.85,,,
GG:1.19,GG,1.19,0,,-3048.85,,,
GG:1.20,GG,1.20,0,,-3159.80,,,
GG:1.21,GG,1.21,0,,-3159.80,,,
GG:1.22,GG,1.22,0,,-3159.80,,,
GG:1.23,GG,1.23,0,,-3159.80,,,
GG:1.24,GG,1.24,0,,-3175.75,,,
GG:1.25,GG,1.25,0,,-3317.20,5,3,3m_2022-01-01;3m_2022-04-01;3m_2024-07-01;3m_2025-04-01;3m_2026-01-01
GG:1.26,GG,1.26,0,,-3317.20,,,
GG:1.27,GG,1.27,0,,-3317.20,,,
GG:1.28,GG,1.28,0,,-3317.20,,,
GG:1.29,GG,1.29,0,,-3428.65,,,
