portfolio,components,windows,mean_pnl,mean_mdd,worst_mdd,lower_mdd_than_rr1,lower_mdd_than_best_constituent,mean_smoothing,early12_mdd_wins,early12_mean_mdd_delta,early12_mean_pnl_delta,later11_mdd_wins,later11_mean_mdd_delta,later11_mean_pnl_delta
pair_1.00_1.50,1.00/1.50,23,4680.319565217392,3298.3934782608694,6325.925000000001,7,3,106.27608695652178,5,-257.3562500000001,635.7083333333334,2,330.71590909090924,337.99545454545466
pair_1.25_3.50,1.25/3.50,23,5069.26304347826,3304.0076086956524,6168.675000000001,11,10,148.18586956521753,9,-453.9687500000001,1076.1354166666667,2,556.9409090909093,670.775
rr_1.25,1.25,23,4636.945652173913,3306.4913043478264,6358.85,9,0,0.0,7,-323.4333333333334,451.79583333333335,2,419.73181818181837,447.93636363636375
pair_1.00_3.00,1.00/3.00,23,4798.023913043478,3309.848913043478,5946.150000000001,7,1,134.6195652173912,5,-175.15416666666667,681.8062500000001,2,264.99318181818177,533.815909090909
pair_1.25_2.75,1.25/2.75,23,5030.171739130435,3312.7271739130433,5706.975,7,8,116.5445652173913,5,-279.08750000000003,874.0250000000001,2,384.3931818181818,809.5227272727273
pair_2.50_3.50,2.50/3.50,23,5660.531521739131,3318.6804347826087,5660.125,6,7,73.50217391304345,4,-317.2479166666666,1424.2479166666667,2,438.47045454545463,1527.3045454545456
pair_1.25_3.25,1.25/3.25,23,5204.826086956522,3321.9402173913045,5602.2,11,5,106.7489130434783,9,-400.59166666666675,1148.5229166666666,2,536.2068181818181,875.2568181818181
pair_2.00_2.50,2.00/2.50,23,5512.554347826087,3324.355434782609,5474.825,8,3,19.917391304347802,6,-219.44166666666672,1279.85,2,343.6386363636364,1375.4227272727273
pair_2.50_3.25,2.50/3.25,23,5796.094565217391,3333.878260869565,5093.65,10,2,34.80000000000008,8,-260.6458333333333,1496.6354166666665,2,408.49999999999983,1731.7863636363636
pair_1.75_3.50,1.75/3.50,23,5505.869565217391,3346.291304347826,6228.6,8,11,160.1184782608697,6,-387.4187500000001,1591.2979166666667,2,572.7522727272726,1021.6840909090911
pair_1.75_3.25,1.75/3.25,23,5641.432608695653,3348.369565217391,5662.125,8,1,134.53586956521747,6,-355.2479166666668,1663.685416666667,2,542.0022727272727,1226.165909090909
pair_2.50_2.75,2.50/2.75,23,5621.440217391304,3348.509782608696,5198.425,9,1,20.751086956521704,5,-182.05416666666667,1222.1375,4,353.35681818181826,1666.0522727272723
pair_1.25_1.50,1.25/1.50,23,4905.294565217391,3367.35,6447.0,7,3,53.31630434782609,7,-360.1875,861.60625,0,587.0772727272729,561.9636363636366
pair_1.75_2.75,1.75/2.75,23,5466.778260869565,3369.503260869565,5938.825,10,3,113.98478260869568,6,-289.29166666666686,1389.1874999999998,4,514.2386363636365,1160.4318181818182
pair_2.50_3.00,2.50/3.00,23,5614.267391304348,3370.25652173913,5326.75,6,1,30.19782608695657,4,-137.71250000000012,1255.8166666666668,2,350.45454545454544,1614.313636363636
pair_1.25_3.00,1.25/3.00,23,5022.998913043478,3379.120652173913,5835.3,7,8,81.34456521739129,5,-235.69583333333335,907.7041666666668,2,475.87954545454545,757.7840909090908
pair_1.75_2.25,1.75/2.25,23,5462.152173913044,3387.880434782609,6260.575000000001,10,0,19.095652173913045,6,-166.36250000000007,1399.9604166666668,4,418.5590909090911,1139.0068181818185
pair_1.75_3.00,1.75/3.00,23,5459.605434782608,3388.0565217391304,5895.224999999999,8,2,126.62500000000018,6,-244.95000000000022,1422.8666666666668,2,504.6590909090907,1108.6931818181818
rr_2.25,2.25,23,5414.145652173913,3399.028260869565,5287.0,7,0,0.0,5,-35.22500000000006,1317.8000000000002,2,298.80909090909097,1128.259090909091
pair_1.50_2.25,1.50/2.25,23,5293.894565217392,3407.7608695652175,5911.075000000001,8,4,59.173913043478294,6,-184.25000000000003,1294.6083333333333,2,479.64090909090913,902.125
pair_2.25_3.25,2.25/3.25,23,5593.426086956521,3413.141304347826,5164.925,7,4,61.81630434782604,5,-211.24791666666684,1581.525,2,520.3431818181818,1215.4181818181817
pair_2.25_3.50,2.25/3.50,23,5457.863043478261,3414.080434782609,5731.4,7,8,84.38152173913036,5,-234.5041666666668,1509.1375,2,547.6772727272729,1010.9363636363637
rr_1.75,1.75,23,5510.158695652174,3414.9239130434785,7234.150000000001,9,0,0.0,6,-267.20416666666665,1482.1208333333334,3,585.1136363636365,1149.7545454545455
pair_1.50_1.75,1.50/1.75,23,5341.901086956522,3420.1576086956525,6884.650000000001,6,9,54.72499999999995,6,-320.8270833333332,1376.76875,0,654.5545454545455,912.8727272727274
pair_1.50_2.75,1.50/2.75,23,5298.520652173913,3422.261956521739,5765.0,6,6,121.18478260869561,4,-249.13750000000005,1283.8354166666668,2,580.7477272727274,923.55
pair_2.25_2.75,2.25/2.75,23,5418.771739130435,3426.067391304348,5269.700000000001,7,4,49.472826086956545,5,-116.77291666666673,1307.0270833333334,2,444.30681818181836,1149.6840909090909
pair_1.50_3.50,1.50/3.50,23,5337.61195652174,3434.254347826087,6226.700000000001,7,8,132.11413043478262,5,-367.13750000000005,1485.9458333333332,2,734.5500000000002,784.8022727272729
pair_1.75_2.00,1.75/2.00,23,5357.892391304348,3438.2902173913044,6408.75,8,0,20.209782608695544,6,-212.50416666666663,1446.8999999999999,2,574.2977272727273,869.8022727272728
pair_1.50_3.25,1.50/3.25,23,5473.175,3442.2347826086957,5660.225,8,2,100.62934782608679,6,-322.6479166666667,1558.3333333333333,2,702.7022727272728,989.2840909090909
pair_2.00_2.25,2.00/2.25,23,5309.885869565217,3446.929347826087,5546.1,8,0,3.6228260869563558,6,-90.42916666666667,1364.7395833333335,2,459.1886363636366,859.0545454545455
