cohort,kind,start,end,portfolio,components,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change,event_realized_max_drawdown,mean_constituent_max_drawdown,smoothing_vs_mean_constituent_dd,best_constituent_max_drawdown,max_constituent_net_pnl,mdd_delta_vs_rr1,pnl_delta_vs_rr1
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.00_2.50,2.00/2.50,5680.375,1762.8,2020-03-12,45,63,True,19,-942.3,-1579.75,-1521.35,1978.3249999999994,1966.4250000000002,203.62500000000023,1846.95,6505.65,-526.8,3539.625
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.00_2.75,2.00/2.75,6006.4,1870.025,2020-03-12,43,61,True,20,-942.3,-1579.75,-1628.575,2085.5499999999993,2073.65,203.625,1846.95,6505.65,-419.5749999999998,3865.6499999999996
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.00_3.00,2.00/3.00,5807.35,2203.675,2020-03-12,43,61,True,22,-942.3,-1579.75,-1936.725,2419.1999999999994,2422.4500000000003,218.7750000000001,1846.95,6505.65,-85.92499999999973,3666.6000000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.00_3.25,2.00/3.25,5672.2,2153.375,2020-03-12,41,57,True,23,-942.3000000000001,-1579.75,-1848.475,2368.899999999999,2372.15,218.7750000000001,1846.95,6505.65,-136.2249999999999,3531.45
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.00_3.50,2.00/3.50,5193.625,2153.375,2020-03-12,42,58,True,23,-942.3000000000001,-1579.75,-1847.225,2368.899999999999,2372.15,218.7750000000001,1846.95,6505.65,-136.2249999999999,3052.875
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.25_2.50,2.25/2.50,5366.725,1783.7,2020-03-12,42,58,True,19,-942.3000000000001,-1719.7,-1542.25,2045.6499999999996,1914.425,130.7249999999999,1742.9499999999998,5878.35,-505.89999999999986,3225.9750000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.25_2.75,2.25/2.75,5692.75,1890.925,2020-03-12,41,57,True,22,-942.3,-1719.6999999999998,-1649.475,2106.4499999999994,2021.6499999999999,130.7249999999999,1742.9499999999998,5878.35,-398.67499999999995,3552.0
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.25_3.00,2.25/3.00,5493.700000000001,2224.575,2020-03-12,41,57,True,24,-942.3,-1719.7,-1957.625,2440.0999999999995,2370.45,145.875,1742.9499999999998,5878.35,-65.02500000000009,3352.9500000000007
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.25_3.25,2.25/3.25,5358.55,2174.275,2020-03-12,40,57,True,23,-942.3000000000001,-1719.7,-1869.375,2389.799999999999,2320.1499999999996,145.87499999999955,1742.9499999999998,5878.35,-115.32499999999982,3217.8
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.25_3.50,2.25/3.50,4879.975,2174.2749999999996,2020-03-12,40,57,True,24,-942.3,-1719.6999999999998,-1868.125,2389.7999999999993,2320.1499999999996,145.875,1742.9499999999998,5878.35,-115.32500000000027,2739.2250000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.50_2.75,2.50/2.75,5181.125,2193.125,2020-03-12,40,57,True,20,-942.3,-1719.6999999999998,-1951.675,2401.374999999999,2193.125,0.0,2085.9,5507.15,-96.47499999999991,3040.375
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.50_3.00,2.50/3.00,4982.075000000001,2526.775,2020-03-12,40,57,True,19,-942.3,-1719.7,-2259.825,2735.024999999999,2541.925,15.150000000000091,2085.9,5109.05,237.17500000000018,2841.3250000000007
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.50_3.25,2.50/3.25,4846.925,2476.475,2020-03-12,40,57,True,21,-942.3000000000001,-1719.7,-2152.3,2684.7249999999995,2491.625,15.150000000000091,2085.9,4855.1,186.875,2706.175
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.50_3.50,2.50/3.50,4368.35,2476.4750000000004,2020-03-12,48,69,True,20,-942.3000000000001,-1719.7,-2151.05,2684.7249999999995,2491.625,15.149999999999636,2085.9,4855.1,186.87500000000045,2227.6000000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.75_3.00,2.75/3.00,5308.1,2634.0,2020-03-12,40,57,True,23,-942.3,-1719.7,-2367.05,2842.249999999999,2649.15,15.150000000000091,2300.35,5507.15,344.4000000000001,3167.3500000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.75_3.25,2.75/3.25,5172.95,2583.7,2020-03-12,40,57,True,22,-942.3,-1719.7,-2259.525,2791.9499999999994,2598.85,15.150000000000091,2300.35,5507.15,294.0999999999999,3032.2
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_2.75_3.50,2.75/3.50,4694.375,2583.7,2020-03-12,48,69,True,21,-942.2999999999998,-1719.6999999999998,-2258.275,2791.9499999999994,2598.85,15.150000000000091,2300.35,5507.15,294.0999999999999,2553.625
