cohort,rr,budget,method,breached,horizon_open_trade_censored,trade_key,window,entry,exit,pnl_before,pnl_after,kind,interval_start
12m_2020-04-01,2.25,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,2.25,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,2.25,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,2.50,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,2.50,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,2.50,1500,closed_peak_dd,True,0,RR2.50:2-3:49:171,2-3,2020-06-29T02:40:40,2020-06-29T09:07:40,801.8,740.75,realized_drawdown,2020-06-29T09:07:40
12m_2020-04-01,2.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,2.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,2.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,2.75,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,2.75,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,2.75,1500,closed_peak_dd,True,0,RR2.75:10-11:41:158,10-11,2020-06-29T10:00:40,2020-06-29T16:31:40,988.3,933.25,realized_drawdown,2020-06-29T16:31:40
12m_2020-04-01,2.75,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,2.75,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,2.75,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,3.00,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,3.00,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,3.00,1500,closed_peak_dd,True,0,RR3.00:20-21:93:335,20-21,2021-02-25T20:20:40,2021-02-25T22:15:40,4862.05,4605.0,realized_drawdown,2021-02-25T22:15:40
12m_2020-04-01,3.00,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,3.00,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,3.00,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,3.25,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,3.25,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,3.25,1500,closed_peak_dd,True,0,RR3.25:20-21:93:334,20-21,2021-02-25T20:20:40,2021-02-25T22:15:40,4366.3,4109.25,realized_drawdown,2021-02-25T22:15:40
12m_2020-04-01,3.25,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,3.25,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,3.25,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,3.50,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,3.50,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,3.50,1500,closed_peak_dd,True,0,RR3.50:20-21:93:334,20-21,2021-02-25T20:20:40,2021-02-25T22:15:40,3943.0,3685.95,realized_drawdown,2021-02-25T22:15:40
12m_2020-04-01,3.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,3.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,3.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,0.50,1500,closed_floor,True,0,RR0.50:2-3:138:503,2-3,2021-06-04T02:00:40,2021-06-04T02:13:40,-1484.4,-1507.45,close,2021-06-04T02:13:40
12m_2020-07-01,0.50,1500,excursion_floor,True,0,RR0.50:2-3:138:503,2-3,2021-06-04T02:00:40,2021-06-04T02:13:40,-1484.4,-1507.45,mae,2021-06-04T02:00:40
12m_2020-07-01,0.50,1500,closed_peak_dd,True,0,RR0.50:12-13:86:327,12-13,2021-01-15T12:33:40,2021-01-15T12:57:40,652.8,613.25,realized_drawdown,2021-01-15T12:57:40
12m_2020-07-01,0.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,0.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,0.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,0.75,1500,closed_floor,True,0,RR0.75:20-21:126:448,20-21,2021-06-16T20:34:40,2021-06-16T20:49:40,-1470.65,-1508.2,close,2021-06-16T20:49:40
12m_2020-07-01,0.75,1500,excursion_floor,True,0,RR0.75:22-23:115:446,22-23,2021-06-15T22:43:40,2021-06-15T23:30:00,-1460.45,-1451.0,mae,2021-06-15T22:43:40
12m_2020-07-01,0.75,1500,closed_peak_dd,True,0,RR0.75:17-18:70:324,17-18,2021-01-29T17:23:40,2021-01-29T18:22:40,958.7,683.15,realized_drawdown,2021-01-29T18:22:40
12m_2020-07-01,0.75,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,0.75,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,0.75,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,1.00,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,1.00,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,1.00,1500,closed_peak_dd,True,0,RR1.00:22-23:55:219,22-23,2020-10-06T22:34:40,2020-10-06T23:30:00,537.95,373.9,realized_drawdown,2020-10-06T23:30:00
12m_2020-07-01,1.00,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,1.00,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,1.00,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,1.25,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,1.25,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,1.25,1500,closed_peak_dd,True,0,RR1.25:13-14:108:398,13-14,2021-02-23T13:15:40,2021-02-23T16:34:40,2647.65,2496.6,realized_drawdown,2021-02-23T16:34:40
12m_2020-07-01,1.25,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,1.25,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,1.25,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,1.50,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,1.50,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,1.50,1500,closed_peak_dd,True,0,RR1.50:6-7:97:387,6-7,2021-02-26T06:02:40,2021-02-26T06:10:40,2979.75,2912.2,realized_drawdown,2021-02-26T06:10:40
12m_2020-07-01,1.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,1.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,1.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,1.75,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,1.75,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,1.75,1500,closed_peak_dd,True,0,RR1.75:17-18:97:439,17-18,2021-06-03T17:59:40,2021-06-03T23:30:00,5134.1,5032.55,realized_drawdown,2021-06-03T23:30:00
12m_2020-07-01,1.75,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,1.75,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,1.75,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,2.00,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,2.00,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,2.00,1500,closed_peak_dd,True,0,RR2.00:12-13:114:430,12-13,2021-05-19T12:04:40,2021-05-19T12:54:40,5747.05,5689.5,realized_drawdown,2021-05-19T12:54:40
12m_2020-07-01,2.00,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,2.00,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,2.00,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,2.25,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,2.25,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,2.25,1500,closed_peak_dd,True,0,RR2.25:1-2:102:369,1-2,2021-05-13T01:13:40,2021-05-13T10:49:20,5908.3,5829.25,realized_drawdown,2021-05-13T10:49:20
12m_2020-07-01,2.25,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,2.25,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,2.25,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,2.50,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,2.50,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,2.50,1500,closed_peak_dd,True,0,RR2.50:1-2:102:369,1-2,2021-05-13T01:13:40,2021-05-13T10:49:20,4834.0,4754.95,realized_drawdown,2021-05-13T10:49:20
12m_2020-07-01,2.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,2.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,2.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,2.75,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,2.75,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,2.75,1500,closed_peak_dd,True,0,RR2.75:6-7:97:387,6-7,2021-02-26T06:02:40,2021-02-26T06:10:40,3968.0,3900.45,realized_drawdown,2021-02-26T06:10:40
12m_2020-07-01,2.75,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,2.75,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,2.75,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,3.00,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,3.00,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,3.00,1500,closed_peak_dd,True,0,RR3.00:20-21:93:335,20-21,2021-02-25T20:20:40,2021-02-25T22:15:40,3310.95,3053.9,realized_drawdown,2021-02-25T22:15:40
12m_2020-07-01,3.00,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,3.00,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,3.00,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,3.25,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,3.25,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,3.25,1500,closed_peak_dd,True,0,RR3.25:20-21:93:334,20-21,2021-02-25T20:20:40,2021-02-25T22:15:40,2611.45,2354.4,realized_drawdown,2021-02-25T22:15:40
12m_2020-07-01,3.25,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,3.25,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,3.25,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-07-01,3.50,1500,closed_floor,False,0,,,,,,,,
12m_2020-07-01,3.50,1500,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,3.50,1500,closed_peak_dd,True,0,RR3.50:20-21:93:334,20-21,2021-02-25T20:20:40,2021-02-25T22:15:40,2687.4,2430.35,realized_drawdown,2021-02-25T22:15:40
12m_2020-07-01,3.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-07-01,3.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-07-01,3.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-10-01,0.50,1500,closed_floor,True,0,RR0.50:2-3:112:416,2-3,2021-03-08T02:50:40,2021-03-08T04:18:40,-1395.05,-1539.1,close,2021-03-08T04:18:40
12m_2020-10-01,0.50,1500,excursion_floor,True,0,RR0.50:17-18:77:349,17-18,2021-02-23T17:25:40,2021-02-23T22:30:00,-1288.95,-825.5,mae,2021-02-23T17:25:40
12m_2020-10-01,0.50,1500,closed_peak_dd,True,0,RR0.50:12-13:86:327,12-13,2021-01-15T12:33:40,2021-01-15T12:57:40,-672.35,-711.9,realized_drawdown,2021-01-15T12:57:40
12m_2020-10-01,0.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-10-01,0.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-10-01,0.50,6800,closed_peak_dd,False,0,,,,,,,,
