months,budget,gap,left,right,shared,left_only,right_only,reciprocal,jaccard
1,1500,40,2.00,2.75,9,0,2,False,0.8181818181818182
1,1500,40,2.00,3.00,9,0,2,False,0.8181818181818182
1,1500,40,2.00,3.25,9,0,2,False,0.8181818181818182
1,1500,40,2.00,3.50,9,0,2,False,0.8181818181818182
1,1500,40,2.25,2.50,9,1,2,True,0.75
1,1500,40,2.25,2.75,9,1,2,True,0.75
1,1500,40,2.25,3.00,9,1,2,True,0.75
1,1500,40,2.25,3.25,9,1,2,True,0.75
1,1500,40,2.25,3.50,9,1,2,True,0.75
1,1500,40,2.50,2.75,11,0,0,False,1.0
1,1500,40,2.50,3.00,11,0,0,False,1.0
1,1500,40,2.50,3.25,11,0,0,False,1.0
1,1500,40,2.50,3.50,11,0,0,False,1.0
1,1500,40,2.75,3.00,11,0,0,False,1.0
1,1500,40,2.75,3.25,11,0,0,False,1.0
1,1500,40,2.75,3.50,11,0,0,False,1.0
1,1500,40,3.00,3.25,11,0,0,False,1.0
1,1500,40,3.00,3.50,11,0,0,False,1.0
1,1500,40,3.25,3.50,11,0,0,False,1.0
1,6800,5,0.50,0.75,0,0,0,False,
1,6800,5,0.50,1.00,0,0,0,False,
1,6800,5,0.50,1.25,0,0,0,False,
1,6800,5,0.50,1.50,0,0,0,False,
1,6800,5,0.50,1.75,0,0,0,False,
1,6800,5,0.50,2.00,0,0,0,False,
1,6800,5,0.50,2.25,0,0,0,False,
1,6800,5,0.50,2.50,0,0,0,False,
1,6800,5,0.50,2.75,0,0,0,False,
1,6800,5,0.50,3.00,0,0,0,False,
1,6800,5,0.50,3.25,0,0,0,False,
1,6800,5,0.50,3.50,0,0,0,False,
1,6800,5,0.75,1.00,0,0,0,False,
1,6800,5,0.75,1.25,0,0,0,False,
1,6800,5,0.75,1.50,0,0,0,False,
1,6800,5,0.75,1.75,0,0,0,False,
1,6800,5,0.75,2.00,0,0,0,False,
1,6800,5,0.75,2.25,0,0,0,False,
1,6800,5,0.75,2.50,0,0,0,False,
1,6800,5,0.75,2.75,0,0,0,False,
1,6800,5,0.75,3.00,0,0,0,False,
1,6800,5,0.75,3.25,0,0,0,False,
1,6800,5,0.75,3.50,0,0,0,False,
1,6800,5,1.00,1.25,0,0,0,False,
1,6800,5,1.00,1.50,0,0,0,False,
1,6800,5,1.00,1.75,0,0,0,False,
1,6800,5,1.00,2.00,0,0,0,False,
1,6800,5,1.00,2.25,0,0,0,False,
1,6800,5,1.00,2.50,0,0,0,False,
1,6800,5,1.00,2.75,0,0,0,False,
1,6800,5,1.00,3.00,0,0,0,False,
1,6800,5,1.00,3.25,0,0,0,False,
1,6800,5,1.00,3.50,0,0,0,False,
1,6800,5,1.25,1.50,0,0,0,False,
1,6800,5,1.25,1.75,0,0,0,False,
1,6800,5,1.25,2.00,0,0,0,False,
1,6800,5,1.25,2.25,0,0,0,False,
1,6800,5,1.25,2.50,0,0,0,False,
1,6800,5,1.25,2.75,0,0,0,False,
1,6800,5,1.25,3.00,0,0,0,False,
1,6800,5,1.25,3.25,0,0,0,False,
1,6800,5,1.25,3.50,0,0,0,False,
1,6800,5,1.50,1.75,0,0,0,False,
1,6800,5,1.50,2.00,0,0,0,False,
1,6800,5,1.50,2.25,0,0,0,False,
1,6800,5,1.50,2.50,0,0,0,False,
1,6800,5,1.50,2.75,0,0,0,False,
1,6800,5,1.50,3.00,0,0,0,False,
1,6800,5,1.50,3.25,0,0,0,False,
1,6800,5,1.50,3.50,0,0,0,False,
1,6800,5,1.75,2.00,0,0,0,False,
1,6800,5,1.75,2.25,0,0,0,False,
1,6800,5,1.75,2.50,0,0,0,False,
