case,left,right,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change
3m_2020-04-01,1.25,3.25,2910.1499999999996,772.125,2020-06-12,15,21,True,11,-471.35000000000036,-726.2250000000004,-171.95000000000073
3m_2020-04-01,1.25,3.50,3028.675,772.1250000000005,2020-06-12,15,21,True,11,-471.35000000000036,-726.2249999999999,-30.09999999999991
3m_2020-04-01,1.50,1.75,2744.475,699.75,2020-06-12,15,21,True,12,-471.35000000000036,-563.6000000000001,-55.375
3m_2020-04-01,1.50,2.00,2782.0249999999996,647.9750000000004,2020-06-30,15,21,True,12,-471.35000000000036,-647.9750000000004,12.974999999999454
3m_2020-04-01,1.50,2.25,2400.175,784.9250000000002,2020-06-12,12,18,True,13,-471.3499999999999,-653.9749999999999,-325.02499999999964
3m_2020-04-01,1.50,2.50,2836.875,784.9249999999997,2020-06-12,13,19,True,14,-471.34999999999945,-611.4750000000004,-50.19999999999982
3m_2020-04-01,1.50,2.75,2874.075,784.9250000000002,2020-06-12,15,21,True,12,-471.3499999999999,-611.4750000000004,-46.27500000000009
3m_2020-04-01,1.50,3.00,3135.6499999999996,784.9249999999997,2020-06-12,11,15,True,13,-471.34999999999945,-611.4750000000004,-63.5
3m_2020-04-01,1.50,3.25,2981.1499999999996,784.9250000000002,2020-06-12,15,21,True,11,-471.35000000000036,-694.1750000000002,-131.97500000000036
3m_2020-04-01,1.50,3.50,3099.675,784.9250000000002,2020-06-12,15,21,True,12,-471.35000000000036,-694.1750000000002,9.875
3m_2020-04-01,1.75,2.00,3029.1499999999996,661.4500000000003,2020-06-30,14,20,True,11,-525.3500000000004,-661.4500000000003,-53.05000000000018
3m_2020-04-01,1.75,2.25,2647.3,853.125,2020-06-12,9,13,True,13,-525.3500000000004,-795.1999999999998,-391.0499999999997
3m_2020-04-01,1.75,2.50,3084.0,838.9249999999997,2020-06-12,12,18,True,13,-525.3499999999999,-709.6749999999997,-116.22499999999991
3m_2020-04-01,1.75,2.75,3121.2,838.9249999999997,2020-06-12,11,15,True,12,-525.3499999999999,-646.5750000000003,-112.30000000000018
3m_2020-04-01,1.75,3.00,3382.7749999999996,838.9249999999997,2020-06-12,11,15,True,13,-525.3499999999999,-642.5499999999997,-129.52500000000055
3m_2020-04-01,1.75,3.25,3228.2749999999996,838.9250000000002,2020-06-12,11,15,True,13,-525.3500000000004,-707.6500000000005,-198.00000000000045
3m_2020-04-01,1.75,3.50,3346.8,838.9250000000002,2020-06-12,11,15,True,14,-525.3500000000004,-707.6499999999996,-56.149999999999636
3m_2020-04-01,2.00,2.25,2684.85,762.6500000000001,2020-06-30,9,13,True,13,-525.3500000000004,-762.6500000000001,-322.7000000000003
3m_2020-04-01,2.00,2.50,3121.55,726.1499999999996,2020-06-30,12,18,True,13,-525.3499999999999,-726.1499999999996,-47.875
3m_2020-04-01,2.00,2.75,3158.75,726.1499999999996,2020-06-30,9,13,True,14,-525.3499999999995,-726.1499999999996,-43.94999999999982
3m_2020-04-01,2.00,3.00,3420.325,726.1500000000005,2020-06-30,6,8,True,15,-525.3499999999999,-726.1500000000005,-61.17500000000018
3m_2020-04-01,2.00,3.25,3265.825,808.8500000000004,2020-06-30,11,15,True,13,-525.3499999999999,-808.8500000000004,-129.65000000000055
3m_2020-04-01,2.00,3.50,3384.35,808.8499999999999,2020-06-30,11,15,True,14,-525.3500000000004,-808.8499999999999,12.199999999999818
3m_2020-04-01,2.25,2.50,2739.7,924.0999999999999,2020-06-12,9,13,True,13,-525.3499999999995,-845.375,-385.875
3m_2020-04-01,2.25,2.75,2776.9,924.0999999999999,2020-06-12,9,13,True,12,-525.3499999999999,-782.2750000000001,-381.9499999999998
3m_2020-04-01,2.25,3.00,3038.475,924.0999999999999,2020-06-12,8,12,True,13,-525.3499999999995,-778.25,-399.1749999999997
3m_2020-04-01,2.25,3.25,2883.975,924.1000000000004,2020-06-12,9,13,True,12,-525.3500000000004,-808.8499999999999,-467.6500000000001
3m_2020-04-01,2.25,3.50,3002.5,924.1000000000004,2020-06-12,9,13,True,12,-525.3500000000004,-808.8500000000004,-325.8000000000002
3m_2020-04-01,2.50,2.75,3213.6000000000004,924.1000000000004,2020-06-12,9,13,True,13,-525.3500000000004,-696.75,-107.12499999999955
3m_2020-04-01,2.50,3.00,3475.175,924.0999999999999,2020-06-12,8,12,True,14,-525.3499999999999,-692.7249999999999,-124.34999999999945
3m_2020-04-01,2.50,3.25,3320.675,924.0999999999999,2020-06-12,9,13,True,13,-525.3499999999999,-772.3499999999999,-192.82499999999982
3m_2020-04-01,2.50,3.50,3439.2,924.0999999999999,2020-06-12,9,13,True,13,-525.3499999999999,-772.3500000000004,-50.975000000000364
3m_2020-04-01,2.75,3.00,3512.375,924.1000000000004,2020-06-12,8,12,True,14,-525.3500000000004,-689.6499999999996,-120.42500000000018
3m_2020-04-01,2.75,3.25,3357.875,924.0999999999995,2020-06-12,8,12,True,14,-525.3499999999995,-772.3500000000004,-188.9000000000001
3m_2020-04-01,2.75,3.50,3476.4,924.0999999999999,2020-06-12,9,13,True,13,-525.3499999999999,-772.3499999999999,-47.04999999999973
3m_2020-04-01,3.00,3.25,3619.45,924.1000000000004,2020-06-12,8,12,True,14,-525.3500000000004,-772.3500000000004,-206.125
3m_2020-04-01,3.00,3.50,3737.975,924.0999999999995,2020-06-12,8,12,True,14,-525.3499999999995,-772.3500000000008,-64.27500000000009
3m_2020-04-01,3.25,3.50,3583.475,924.1000000000004,2020-06-12,11,15,True,13,-525.3500000000004,-855.0499999999997,-132.75000000000045
3m_2020-07-01,0.50,0.50,1408.5,2156.2000000000003,2020-09-21,25,35,True,5,-909.3,-1831.8500000000001,-2133.75
3m_2020-07-01,0.75,0.75,1306.55,1704.75,2020-09-08,22,30,True,5,-714.3499999999999,-1588.2,-1239.75
3m_2020-07-01,1.00,1.00,970.3,1879.7000000000003,2020-09-23,25,35,True,6,-839.3,-1310.9999999999998,-1879.7000000000003
3m_2020-07-01,1.25,1.25,1666.75,1723.1000000000001,2020-09-08,20,28,True,7,-611.8500000000001,-1569.8999999999999,-1379.35
3m_2020-07-01,1.50,1.50,1228.95,1986.6,2020-09-23,20,28,True,7,-611.8499999999999,-1609.35,-1910.5500000000002
3m_2020-07-01,1.75,1.75,1343.65,2100.5,2020-09-23,20,28,True,11,-611.8499999999999,-1609.3500000000001,-1961.1000000000001
3m_2020-07-01,2.00,2.00,2023.95,1805.5500000000002,2020-09-08,20,28,True,11,-694.3,-1691.8000000000002,-1528.8
3m_2020-07-01,2.25,2.25,1754.45,1944.4,2020-09-23,20,28,True,9,-694.3000000000002,-1691.8000000000002,-1858.75
3m_2020-07-01,2.50,2.50,2041.6,1917.4499999999998,2020-09-08,20,28,True,7,-806.1999999999998,-1784.1999999999998,-1613.1499999999999
3m_2020-07-01,2.75,2.75,1224.55,2629.95,2020-09-29,20,28,True,8,-806.2,-1932.1000000000001,-2584.65
3m_2020-07-01,3.00,3.00,1168.65,2367.25,2020-09-23,20,28,True,9,-806.1999999999998,-1919.6,-2288.65
3m_2020-07-01,3.25,3.25,1571.9,2135.1499999999996,2020-09-23,20,28,True,10,-806.2,-1857.1000000000001,-1994.0500000000002
3m_2020-07-01,3.50,3.50,1842.15,1977.4,2020-09-08,20,28,True,10,-806.2,-1857.1,-1583.2
3m_2020-07-01,0.50,0.75,1357.525,1852.7499999999998,2020-09-08,25,35,True,6,-811.825,-1710.0250000000003,-1686.7499999999998
3m_2020-07-01,0.50,1.00,1189.4,2006.7250000000001,2020-09-23,25,35,True,7,-874.3,-1571.425,-2006.7250000000001
3m_2020-07-01,0.50,1.25,1537.625,1846.025,2020-09-08,25,35,True,8,-760.575,-1700.875,-1756.5500000000002
3m_2020-07-01,0.50,1.50,1318.725,2022.15,2020-09-23,25,35,True,8,-760.575,-1720.6,-2022.15
