study,policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,trading_neutral,booked_net_trading_usd
RR1 overlap,fixed_250_backlog,30000.0,4900.0,184200.0,270778.91,454978.91,21,False,456509.0
Pair while flat,fixed_250_backlog,30000.0,4900.0,191572.35,150724.91,342297.26,27,True,527774.4
Pair overlap,fixed_250_backlog,30000.0,4900.0,170644.55,201564.61,372209.16,21,True,470886.5
RR1 overlap,fixed_250_backlog,30100.0,5000.0,185200.0,272278.91,457478.91,22,True,462022.2
Pair while flat,fixed_250_backlog,30100.0,5000.0,191722.35,127175.16,318897.51,27,True,527774.4
Pair overlap,fixed_250_backlog,30100.0,5000.0,170544.55,201564.61,372109.16,21,True,470886.5
RR1 overlap,fixed_250_backlog,30600.0,5500.0,185450.0,272028.91,457478.91,22,True,462022.2
Pair while flat,fixed_250_backlog,30600.0,5500.0,191317.85,101383.52,292701.37,27,True,527774.4
Pair overlap,fixed_250_backlog,30600.0,5500.0,169950.0,203064.61,373014.61,21,True,470886.5
RR1 overlap,fixed_250_backlog,31100.0,6000.0,183957.1,273028.91,456986.01,22,True,462022.2
Pair while flat,fixed_250_backlog,31100.0,6000.0,189036.4,130364.91,319401.31,27,True,527774.4
Pair overlap,fixed_250_backlog,31100.0,6000.0,170200.0,200525.06,370725.06,21,True,470886.5
RR1 overlap,fixed_250_backlog,31600.0,6500.0,182957.1,269058.12,452015.22,22,True,462022.2
Pair while flat,fixed_250_backlog,31600.0,6500.0,187668.55,59387.49,247056.04,27,True,527774.4
Pair overlap,fixed_250_backlog,31600.0,6500.0,170808.4,147149.0,317957.4,21,True,470886.5
RR1 overlap,fixed_250_backlog,32100.0,7000.0,181402.15,265288.03,446690.18,22,True,462022.2
Pair while flat,fixed_250_backlog,32100.0,7000.0,185924.1,83781.28,269705.38,27,True,527774.4
Pair overlap,fixed_250_backlog,32100.0,7000.0,169648.0,206222.75,375870.75,21,True,470886.5
RR1 overlap,fixed_250_backlog,32600.0,7500.0,179896.5,260210.79,440107.29,22,True,462022.2
Pair while flat,fixed_250_backlog,32600.0,7500.0,184217.65,124319.59,308537.24,27,True,527774.4
Pair overlap,fixed_250_backlog,32600.0,7500.0,167477.6,176789.57,344267.17,21,True,470886.5
RR1 overlap,fixed_250_backlog,33100.0,8000.0,177698.0,260710.79,438408.79,22,True,462022.2
Pair while flat,fixed_250_backlog,33100.0,8000.0,181769.1,161334.95,343104.05,27,True,527774.4
Pair overlap,fixed_250_backlog,33100.0,8000.0,164571.55,177730.77,342302.32,21,True,470886.5
RR1 overlap,fixed_250_backlog,33600.0,8500.0,176948.0,259460.79,436408.79,22,True,462022.2
Pair while flat,fixed_250_backlog,33600.0,8500.0,181183.4,148047.36,329230.76,27,True,527774.4
