policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,ongoing_payouts,terminal_payouts,profit_before_terminal_usd,profit_after_terminal_usd,booked_net_trading_usd,firm_split_usd,path_ceiling_usd,unextracted_usd,path_fingerprint,stage,copies_checked,alive_rr050,alive_rr250,trading_neutral,earnings_vs_benchmark_usd,book_ceiling_usd,ceiling_capture
fixed_1500_backlog,33100.0,8000.0,333048.12,95529.87,428577.99,21,193,16,140700.9,42123.54,470886.5,10607.22,481308.75,52730.76,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.890443
fixed_1500_backlog,33600.0,8500.0,324732.33,102329.87,427062.2,21,187,16,149216.7,43639.34,470886.5,10607.21,481308.75,54246.55,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.887294
fixed_1500_backlog,34100.0,9000.0,316400.98,110629.87,427030.85,21,180,17,157748.05,43670.69,470886.5,10607.21,481308.75,54277.9,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.887229
fixed_1500_backlog,34600.0,9500.0,308600.97,117429.87,426030.84,21,178,17,165748.05,44670.69,470886.5,10607.22,481308.75,55277.91,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.885151
fixed_1500_backlog,35100.0,10000.0,300785.17,124229.87,425015.04,21,171,17,173763.85,45686.49,470886.5,10607.22,481308.75,56293.71,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.88304
fixed_250_backlog,,,80445.7,181037.68,261483.38,12,171,9,212866.25,24294.39,284497.8,7534.18,293311.95,31828.57,3aae66c932969a28d10f7b62f4575d303adaa080bfb477ddd679edb900ff3587,coarse,84651,6,6,False,-186388.7,481308.75,0.543276
fixed_250_backlog,25100.0,0.0,80445.7,181037.68,261483.38,12,171,9,212866.25,24294.39,284497.8,7534.18,293311.95,31828.57,3aae66c932969a28d10f7b62f4575d303adaa080bfb477ddd679edb900ff3587,coarse,84651,6,6,False,-186388.7,481308.75,0.543276
fixed_250_backlog,25600.0,500.0,80445.7,181037.68,261483.38,12,171,9,212866.25,24294.39,284497.8,7534.18,293311.95,31828.57,3aae66c932969a28d10f7b62f4575d303adaa080bfb477ddd679edb900ff3587,coarse,84651,6,6,False,-186388.7,481308.75,0.543276
fixed_250_backlog,26100.0,1000.0,80445.7,181037.68,261483.38,12,171,9,212866.25,24294.39,284497.8,7534.18,293311.95,31828.57,3aae66c932969a28d10f7b62f4575d303adaa080bfb477ddd679edb900ff3587,coarse,84651,6,6,False,-186388.7,481308.75,0.543276
fixed_250_backlog,26600.0,1500.0,81912.6,181037.68,262950.28,12,168,9,212866.25,24294.39,285702.15,7534.18,294778.85,31828.57,68dc68ce570e192a82bda972ce1efdffedd3d8d5cfadd63bdee666e8c539f5c9,coarse,86454,6,6,False,-185184.35,481308.75,0.546323
fixed_250_backlog,27100.0,2000.0,73025.6,116882.62,189908.22,11,153,7,184110.15,64155.02,248411.5,3072.51,257135.75,67227.53,ae4f6f74ff5255d9d81cc367944d854c153e1f1c8f571302c22b9bfcc176ed0e,coarse,85068,6,5,False,-222475.0,481308.75,0.394566
fixed_250_backlog,27600.0,2500.0,71688.7,116882.62,188571.32,11,148,7,184110.15,64155.02,247035.05,3072.51,255798.85,67227.53,0a67ab7ff6e880d40a9b93e6e076c0efb50b433b31c87ecae7103a65a3ef56a4,coarse,85917,6,5,False,-223851.45,481308.75,0.391789
